facenum,block,emotion,reward
6,1,scram,CEVR
3,1,scram,CEVR
5,1,scram,CEVR
23,1,scram,CEVR
8,1,scram,CEVR
17,1,scram,CEVR
16,1,scram,CEVR
24,1,scram,CEVR
15,1,scram,CEVR
14,1,scram,CEVR
21,1,scram,CEVR
7,1,scram,CEVR
2,1,scram,CEVR
12,1,scram,CEVR
10,1,scram,CEVR
9,1,scram,CEVR
13,1,scram,CEVR
18,1,scram,CEVR
22,1,scram,CEVR
4,1,scram,CEVR
19,1,scram,CEVR
20,1,scram,CEVR
11,1,scram,CEVR
1,1,scram,CEVR
25,1,scram,CEVR
18,1,scram,CEVR
2,1,scram,CEVR
1,1,scram,CEVR
25,1,scram,CEVR
22,1,scram,CEVR
12,1,scram,CEVR
6,1,scram,CEVR
15,1,scram,CEVR
8,1,scram,CEVR
24,1,scram,CEVR
11,1,scram,CEVR
14,1,scram,CEVR
19,1,scram,CEVR
16,1,scram,CEVR
5,1,scram,CEVR
9,1,scram,CEVR
17,1,scram,CEVR
23,1,scram,CEVR
7,1,scram,CEVR
3,1,scram,CEVR
4,1,scram,CEVR
13,1,scram,CEVR
21,1,scram,CEVR
20,1,scram,CEVR
10,1,scram,CEVR
17,2,scram,IEV
18,2,scram,IEV
10,2,scram,IEV
4,2,scram,IEV
2,2,scram,IEV
24,2,scram,IEV
5,2,scram,IEV
8,2,scram,IEV
11,2,scram,IEV
15,2,scram,IEV
12,2,scram,IEV
13,2,scram,IEV
25,2,scram,IEV
22,2,scram,IEV
6,2,scram,IEV
19,2,scram,IEV
23,2,scram,IEV
21,2,scram,IEV
14,2,scram,IEV
16,2,scram,IEV
3,2,scram,IEV
20,2,scram,IEV
1,2,scram,IEV
9,2,scram,IEV
7,2,scram,IEV
5,2,scram,IEV
25,2,scram,IEV
7,2,scram,IEV
18,2,scram,IEV
23,2,scram,IEV
19,2,scram,IEV
12,2,scram,IEV
11,2,scram,IEV
10,2,scram,IEV
13,2,scram,IEV
6,2,scram,IEV
2,2,scram,IEV
20,2,scram,IEV
22,2,scram,IEV
21,2,scram,IEV
4,2,scram,IEV
15,2,scram,IEV
24,2,scram,IEV
16,2,scram,IEV
3,2,scram,IEV
1,2,scram,IEV
17,2,scram,IEV
9,2,scram,IEV
8,2,scram,IEV
14,2,scram,IEV
24,3,scram,DEV
11,3,scram,DEV
3,3,scram,DEV
25,3,scram,DEV
15,3,scram,DEV
9,3,scram,DEV
21,3,scram,DEV
18,3,scram,DEV
1,3,scram,DEV
23,3,scram,DEV
17,3,scram,DEV
12,3,scram,DEV
4,3,scram,DEV
5,3,scram,DEV
22,3,scram,DEV
6,3,scram,DEV
14,3,scram,DEV
19,3,scram,DEV
7,3,scram,DEV
13,3,scram,DEV
16,3,scram,DEV
10,3,scram,DEV
8,3,scram,DEV
20,3,scram,DEV
2,3,scram,DEV
11,3,scram,DEV
22,3,scram,DEV
5,3,scram,DEV
1,3,scram,DEV
13,3,scram,DEV
15,3,scram,DEV
14,3,scram,DEV
9,3,scram,DEV
4,3,scram,DEV
25,3,scram,DEV
3,3,scram,DEV
12,3,scram,DEV
20,3,scram,DEV
18,3,scram,DEV
7,3,scram,DEV
16,3,scram,DEV
24,3,scram,DEV
17,3,scram,DEV
10,3,scram,DEV
23,3,scram,DEV
6,3,scram,DEV
19,3,scram,DEV
2,3,scram,DEV
8,3,scram,DEV
21,3,scram,DEV
16,4,scram,CEV
13,4,scram,CEV
22,4,scram,CEV
7,4,scram,CEV
23,4,scram,CEV
24,4,scram,CEV
21,4,scram,CEV
17,4,scram,CEV
15,4,scram,CEV
1,4,scram,CEV
14,4,scram,CEV
12,4,scram,CEV
20,4,scram,CEV
4,4,scram,CEV
25,4,scram,CEV
6,4,scram,CEV
10,4,scram,CEV
18,4,scram,CEV
2,4,scram,CEV
19,4,scram,CEV
5,4,scram,CEV
11,4,scram,CEV
3,4,scram,CEV
9,4,scram,CEV
8,4,scram,CEV
13,4,scram,CEV
7,4,scram,CEV
3,4,scram,CEV
4,4,scram,CEV
17,4,scram,CEV
14,4,scram,CEV
20,4,scram,CEV
8,4,scram,CEV
11,4,scram,CEV
16,4,scram,CEV
9,4,scram,CEV
12,4,scram,CEV
18,4,scram,CEV
25,4,scram,CEV
6,4,scram,CEV
5,4,scram,CEV
21,4,scram,CEV
19,4,scram,CEV
23,4,scram,CEV
10,4,scram,CEV
2,4,scram,CEV
22,4,scram,CEV
15,4,scram,CEV
1,4,scram,CEV
24,4,scram,CEV
