"facenum","ITI","ISI","block","emotion","reward"
13,2000,900,1,"happy","DEV"
12,1800,500,1,"happy","DEV"
19,1400,600,1,"happy","DEV"
8,2000,1400,1,"happy","DEV"
2,1600,800,1,"happy","DEV"
1,1600,1000,1,"happy","DEV"
11,1100,400,1,"happy","DEV"
4,1800,1000,1,"happy","DEV"
6,1000,900,1,"happy","DEV"
7,1800,800,1,"happy","DEV"
10,1800,1500,1,"happy","DEV"
5,1400,800,1,"happy","DEV"
3,1800,700,1,"happy","DEV"
18,1100,1300,1,"happy","DEV"
15,1400,700,1,"happy","DEV"
20,1700,700,1,"happy","DEV"
9,1300,700,1,"happy","DEV"
17,2000,1500,1,"happy","DEV"
14,1900,1500,1,"happy","DEV"
16,1100,1000,1,"happy","DEV"
15,1000,900,1,"happy","DEV"
7,1200,600,1,"happy","DEV"
18,1100,900,1,"happy","DEV"
5,1400,500,1,"happy","DEV"
6,1400,1200,1,"happy","DEV"
20,1400,1000,1,"happy","DEV"
1,1400,400,1,"happy","DEV"
9,1800,700,1,"happy","DEV"
16,1400,600,1,"happy","DEV"
12,1200,1400,1,"happy","DEV"
10,1000,1100,1,"happy","DEV"
19,1100,800,1,"happy","DEV"
3,1900,1100,1,"happy","DEV"
17,1700,1500,1,"happy","DEV"
13,1700,500,1,"happy","DEV"
4,2000,1500,1,"happy","DEV"
8,1700,500,1,"happy","DEV"
14,1800,900,1,"happy","DEV"
2,1200,400,1,"happy","DEV"
11,1000,800,1,"happy","DEV"
13,2000,600,2,"fear","IEV"
5,1200,1500,2,"fear","IEV"
9,1200,900,2,"fear","IEV"
1,1600,800,2,"fear","IEV"
7,1900,1500,2,"fear","IEV"
8,1700,600,2,"fear","IEV"
6,2000,400,2,"fear","IEV"
18,1700,1200,2,"fear","IEV"
14,1100,400,2,"fear","IEV"
4,1200,1100,2,"fear","IEV"
19,1300,1400,2,"fear","IEV"
2,1100,1000,2,"fear","IEV"
20,1200,1200,2,"fear","IEV"
15,1900,500,2,"fear","IEV"
17,1700,1500,2,"fear","IEV"
10,1900,500,2,"fear","IEV"
16,1100,500,2,"fear","IEV"
11,1000,500,2,"fear","IEV"
12,1300,1200,2,"fear","IEV"
3,2000,1300,2,"fear","IEV"
2,1900,800,2,"fear","IEV"
4,1900,500,2,"fear","IEV"
9,1600,1300,2,"fear","IEV"
16,1500,400,2,"fear","IEV"
20,1200,1000,2,"fear","IEV"
10,1900,1100,2,"fear","IEV"
1,1900,500,2,"fear","IEV"
14,1700,400,2,"fear","IEV"
13,1200,1000,2,"fear","IEV"
17,1300,1300,2,"fear","IEV"
11,1100,700,2,"fear","IEV"
12,1200,600,2,"fear","IEV"
15,1500,1200,2,"fear","IEV"
3,1500,800,2,"fear","IEV"
8,1500,800,2,"fear","IEV"
18,1600,1500,2,"fear","IEV"
19,1100,900,2,"fear","IEV"
6,2000,1300,2,"fear","IEV"
5,1000,800,2,"fear","IEV"
7,1300,500,2,"fear","IEV"
4,1800,1500,3,"scram","CEVR"
16,1000,1100,3,"scram","CEVR"
14,1600,1500,3,"scram","CEVR"
6,1100,1400,3,"scram","CEVR"
20,1300,900,3,"scram","CEVR"
15,1800,400,3,"scram","CEVR"
11,1600,800,3,"scram","CEVR"
10,1500,600,3,"scram","CEVR"
3,1300,1000,3,"scram","CEVR"
12,1900,400,3,"scram","CEVR"
5,1900,1500,3,"scram","CEVR"
7,1900,600,3,"scram","CEVR"
18,2000,900,3,"scram","CEVR"
1,2000,600,3,"scram","CEVR"
8,1600,900,3,"scram","CEVR"
17,1300,800,3,"scram","CEVR"
19,1800,900,3,"scram","CEVR"
9,1600,1100,3,"scram","CEVR"
2,1300,1300,3,"scram","CEVR"
13,1400,1300,3,"scram","CEVR"
13,1200,400,3,"scram","CEVR"
9,1300,500,3,"scram","CEVR"
18,1400,800,3,"scram","CEVR"
2,1200,500,3,"scram","CEVR"
19,1800,500,3,"scram","CEVR"
11,1000,900,3,"scram","CEVR"
4,1800,500,3,"scram","CEVR"
3,1300,600,3,"scram","CEVR"
7,1900,1200,3,"scram","CEVR"
17,1500,1100,3,"scram","CEVR"
5,1300,800,3,"scram","CEVR"
14,1400,500,3,"scram","CEVR"
12,1400,1300,3,"scram","CEVR"
16,1500,900,3,"scram","CEVR"
10,1000,1500,3,"scram","CEVR"
20,1000,500,3,"scram","CEVR"
8,1300,1100,3,"scram","CEVR"
1,2000,1300,3,"scram","CEVR"
6,1000,400,3,"scram","CEVR"
15,2000,1200,3,"scram","CEVR"
10,1400,1100,4,"fear","DEV"
4,1500,1100,4,"fear","DEV"
12,1700,700,4,"fear","DEV"
8,2000,1100,4,"fear","DEV"
5,1800,1100,4,"fear","DEV"
9,1600,900,4,"fear","DEV"
19,1300,600,4,"fear","DEV"
11,2000,900,4,"fear","DEV"
14,1100,500,4,"fear","DEV"
17,1600,1100,4,"fear","DEV"
2,1600,400,4,"fear","DEV"
6,1400,500,4,"fear","DEV"
15,1400,1200,4,"fear","DEV"
20,1300,500,4,"fear","DEV"
18,1100,600,4,"fear","DEV"
7,1200,400,4,"fear","DEV"
16,1200,1000,4,"fear","DEV"
3,1800,1500,4,"fear","DEV"
13,1200,400,4,"fear","DEV"
1,1400,400,4,"fear","DEV"
5,1300,1500,4,"fear","DEV"
6,1700,1400,4,"fear","DEV"
7,1700,1500,4,"fear","DEV"
11,1400,500,4,"fear","DEV"
17,1000,800,4,"fear","DEV"
16,1200,800,4,"fear","DEV"
15,1000,600,4,"fear","DEV"
9,2000,400,4,"fear","DEV"
3,1300,1400,4,"fear","DEV"
1,1800,1400,4,"fear","DEV"
19,1500,1400,4,"fear","DEV"
20,1400,900,4,"fear","DEV"
18,1700,800,4,"fear","DEV"
14,1700,600,4,"fear","DEV"
13,1900,1200,4,"fear","DEV"
2,1100,900,4,"fear","DEV"
8,1200,1100,4,"fear","DEV"
12,2000,900,4,"fear","DEV"
10,1900,600,4,"fear","DEV"
4,1600,1300,4,"fear","DEV"
7,1600,600,5,"happy","IEV"
10,2000,500,5,"happy","IEV"
14,1200,1200,5,"happy","IEV"
2,1900,500,5,"happy","IEV"
17,1500,1500,5,"happy","IEV"
6,1400,600,5,"happy","IEV"
9,1600,1000,5,"happy","IEV"
5,1100,1300,5,"happy","IEV"
1,1300,600,5,"happy","IEV"
18,1800,1100,5,"happy","IEV"
3,1000,1500,5,"happy","IEV"
