"facenum","ITI","ISI","block","emotion","reward"
11,2000,300,1,"happy","DEV"
21,1400,300,1,"happy","DEV"
8,1000,300,1,"happy","DEV"
18,1300,300,1,"happy","DEV"
4,1200,300,1,"happy","DEV"
15,1200,300,1,"happy","DEV"
10,1800,300,1,"happy","DEV"
12,1300,300,1,"happy","DEV"
2,1400,300,1,"happy","DEV"
9,1700,300,1,"happy","DEV"
20,1800,300,1,"happy","DEV"
7,1800,300,1,"happy","DEV"
5,1900,300,1,"happy","DEV"
16,1600,300,1,"happy","DEV"
13,1400,300,1,"happy","DEV"
19,2000,300,1,"happy","DEV"
1,1100,300,1,"happy","DEV"
14,1100,300,1,"happy","DEV"
6,1300,300,1,"happy","DEV"
3,1500,300,1,"happy","DEV"
17,1600,300,1,"happy","DEV"
18,2000,300,1,"happy","DEV"
14,1500,300,1,"happy","DEV"
5,1700,300,1,"happy","DEV"
9,1400,300,1,"happy","DEV"
1,1500,300,1,"happy","DEV"
8,1200,300,1,"happy","DEV"
21,1300,300,1,"happy","DEV"
3,2000,300,1,"happy","DEV"
4,1900,300,1,"happy","DEV"
6,1400,300,1,"happy","DEV"
7,1400,300,1,"happy","DEV"
11,1500,300,1,"happy","DEV"
15,1800,300,1,"happy","DEV"
19,1100,300,1,"happy","DEV"
17,1500,300,1,"happy","DEV"
2,1900,300,1,"happy","DEV"
16,1200,300,1,"happy","DEV"
12,1200,300,1,"happy","DEV"
10,1700,300,1,"happy","DEV"
20,1300,300,1,"happy","DEV"
13,1100,300,1,"happy","DEV"
19,1600,300,2,"fear","IEV"
8,2000,300,2,"fear","IEV"
2,1700,300,2,"fear","IEV"
5,2000,300,2,"fear","IEV"
1,2000,300,2,"fear","IEV"
16,1100,300,2,"fear","IEV"
20,1800,300,2,"fear","IEV"
15,1700,300,2,"fear","IEV"
4,1900,300,2,"fear","IEV"
9,1800,300,2,"fear","IEV"
6,1000,300,2,"fear","IEV"
10,1700,300,2,"fear","IEV"
14,1800,300,2,"fear","IEV"
17,1100,300,2,"fear","IEV"
7,1500,300,2,"fear","IEV"
3,1200,300,2,"fear","IEV"
12,1800,300,2,"fear","IEV"
21,1600,300,2,"fear","IEV"
11,1300,300,2,"fear","IEV"
13,1200,300,2,"fear","IEV"
18,1600,300,2,"fear","IEV"
7,1100,300,2,"fear","IEV"
20,1400,300,2,"fear","IEV"
4,1500,300,2,"fear","IEV"
3,1100,300,2,"fear","IEV"
16,1600,300,2,"fear","IEV"
11,1000,300,2,"fear","IEV"
21,1100,300,2,"fear","IEV"
15,1700,300,2,"fear","IEV"
13,1300,300,2,"fear","IEV"
2,1500,300,2,"fear","IEV"
5,1300,300,2,"fear","IEV"
6,1900,300,2,"fear","IEV"
8,2000,300,2,"fear","IEV"
12,1100,300,2,"fear","IEV"
19,1000,300,2,"fear","IEV"
1,1300,300,2,"fear","IEV"
17,1600,300,2,"fear","IEV"
9,1400,300,2,"fear","IEV"
10,1700,300,2,"fear","IEV"
14,1600,300,2,"fear","IEV"
18,1400,300,2,"fear","IEV"
1,1800,300,3,"scram","IEV"
16,1300,300,3,"scram","IEV"
18,1900,300,3,"scram","IEV"
5,1100,300,3,"scram","IEV"
2,1100,300,3,"scram","IEV"
6,1200,300,3,"scram","IEV"
9,1100,300,3,"scram","IEV"
10,1400,300,3,"scram","IEV"
7,1900,300,3,"scram","IEV"
4,2000,300,3,"scram","IEV"
13,1900,300,3,"scram","IEV"
8,1100,300,3,"scram","IEV"
21,1500,300,3,"scram","IEV"
12,1600,300,3,"scram","IEV"
3,1500,300,3,"scram","IEV"
14,1900,300,3,"scram","IEV"
11,2000,300,3,"scram","IEV"
15,1500,300,3,"scram","IEV"
20,1700,300,3,"scram","IEV"
19,1000,300,3,"scram","IEV"
17,1300,300,3,"scram","IEV"
9,1400,300,3,"scram","IEV"
18,1500,300,3,"scram","IEV"
12,1400,300,3,"scram","IEV"
14,1000,300,3,"scram","IEV"
3,1600,300,3,"scram","IEV"
5,1500,300,3,"scram","IEV"
6,1000,300,3,"scram","IEV"
