Subject	Session	lambda	explore_scram	explore_fear	explore_happy	alphaG	alphaN	K	sticky_decay	ignore	rho	SSE
10152.00000	1.00000	0.31646	-0.00000	129.59656	2774.31497	0.58161	0.35525	944.19565	0.50069	3225.57099	210.20738	9388.88214
10385.00000	1.00000	0.41424	1246.05513	3063.72767	871.40440	0.28035	0.01000	901.35414	0.37211	2593.07691	192.83168	10737.82944
10644.00000	1.00000	0.41071	-1268.88185	830.71669	900.65888	0.18963	0.01000	637.85335	0.43642	86.98091	423.11544	7933.92316
10717.00000	1.00000	0.43719	2235.89723	-145.84518	1854.77713	0.24937	0.01000	854.01179	0.36862	398.09463	294.08854	10308.70519
10811.00000	1.00000	0.30357	-0.00000	-3008.62481	2859.34620	0.10483	0.01000	841.88093	0.52367	828.92175	84.85342	9604.97995
10814.00000	1.00000	0.45880	1111.19948	-463.37433	-1338.30680	0.39444	0.25967	483.07865	0.42145	2620.99794	344.70299	5427.74074
10841.00000	1.00000	0.37324	-4604.16727	-3231.52588	-1210.98201	0.05365	0.01000	618.43031	0.43326	1740.71018	655.08938	10512.95023
10895.00000	1.00000	0.22212	-5980.86499	-2166.31957	3639.59982	0.01000	0.06660	1431.94760	0.32258	3209.87151	258.42578	7667.34040
10910.00000	1.00000	0.43624	-1271.71873	24.51420	-2027.32547	0.01000	0.04878	632.99630	0.32958	4570.53850	827.47858	8517.38959
10911.00000	1.00000	0.27283	2575.91855	2348.29817	2124.79394	0.11836	0.01000	859.53066	0.47436	3598.52424	0.00000	9965.16046
10912.00000	1.00000	0.33849	759.16836	-1154.96775	8000.58124	0.34257	0.01000	1010.11303	0.42488	4732.98486	442.21122	10613.10451
10918.00000	1.00000	0.36778	-0.00000	547.16181	-766.84921	0.22448	0.01000	671.74700	0.52450	1744.93475	510.19142	8948.44102
10927.00000	1.00000	0.20624	-0.00000	-1728.21377	-1005.46099	0.28170	0.29006	997.04150	0.44279	3625.44098	226.99239	5773.63421
10941.00000	1.00000	0.56278	-0.00000	-1381.96209	359.99555	0.17812	0.01000	429.93162	0.34786	4384.61807	142.03549	6523.24955
10945.00000	1.00000	0.47469	-103.37742	2218.13448	-1822.57907	0.01661	0.01000	648.00810	0.26422	1933.03804	452.87776	10133.58744
10957.00000	1.00000	0.32340	643.16541	0.00000	-1357.68437	0.24145	0.01000	1064.67229	0.44130	270.58408	327.47342	9519.67038
10959.00000	1.00000	0.34862	4577.76364	-1710.82161	-213.77539	0.14121	0.01000	908.27215	0.40562	4320.75311	272.16096	9976.37509
10960.00000	1.00000	0.39764	3954.61375	-1663.55289	735.84062	0.11884	0.01000	609.86419	0.43407	1527.52511	454.83167	9825.18805
10997.00000	1.00000	0.35844	39.47117	-674.18584	958.33812	0.01000	0.01000	574.62269	0.37197	3327.66526	315.10782	10257.97991
11027.00000	1.00000	0.39127	-0.00000	-1860.77962	-1093.16143	0.04551	0.01000	618.48812	0.42768	3991.04891	244.67177	9551.63478
11040.00000	1.00000	0.41315	-620.55916	-845.22082	605.42255	0.16836	0.27597	542.80504	0.38929	3302.40349	491.44983	4807.51115
11043.00000	1.00000	0.25562	3135.62051	-2499.96516	1287.17037	0.24724	0.01000	1232.49353	0.45662	1680.30490	464.78861	8282.35970
11046.00000	1.00000	0.52968	86.43661	0.00345	0.00012	0.23286	0.01000	367.67219	0.40261	1015.67432	271.48890	8717.92976
11059.00000	1.00000	0.31426	-2444.32523	-2778.07169	2128.36279	0.07830	0.01000	974.44950	0.32465	4923.23722	241.80207	8724.57183
11075.00000	1.00000	0.47468	480.83064	-2059.51238	-305.51338	0.40050	0.05981	763.00634	0.35128	4641.88346	284.27057	8818.11336
11126.00000	1.00000	0.56380	-0.00000	525.02913	-1230.17420	0.27081	0.08529	491.37508	0.33004	3337.02634	278.77831	8400.38584
11131.00000	1.00000	0.37377	-961.14978	-1041.87857	1545.09489	0.01000	0.01000	410.84848	0.48420	1654.64907	171.75738	8058.37848
11138.00000	1.00000	0.35324	-3665.82575	-2789.96388	-2452.64499	0.33682	0.13612	955.39371	0.42568	2685.81709	199.34426	10615.14318
11165.00000	1.00000	0.47375	-234.84792	2.33857	-338.85466	0.06404	0.05943	195.58746	0.45265	1325.18882	210.44295	4131.62265
11173.00000	1.00000	0.41111	-15.56277	-1454.45665	-0.00000	0.01000	0.05269	302.63957	0.45628	2032.50806	366.54950	10045.07964
11177.00000	1.00000	0.53548	-944.45020	-103.13114	-1180.17067	0.26745	0.01000	575.98922	0.36524	2345.59922	380.29076	8411.30257
11180.00000	1.00000	0.27256	-1789.02544	3458.98499	-1617.38801	0.01000	0.01000	1005.00578	0.39549	3605.58440	137.65678	9872.02119
11184.00000	1.00000	0.52638	-2146.55588	1909.38980	-330.31336	0.01000	0.01000	461.74509	0.27117	1815.99355	378.11109	9664.79389
11188.00000	1.00000	0.35892	358.62410	-1717.84371	-1099.76701	0.29730	0.01000	911.34479	0.45977	375.00253	359.54707	9228.80196
11189.00000	1.00000	0.41079	-110.23865	-2998.62672	-2303.64668	0.57990	0.33732	847.07392	0.32939	2012.96951	639.47323	7980.49850
11193.00000	1.00000	0.51856	-842.14547	-1353.38144	-179.58364	0.19825	0.18052	638.70833	0.20722	739.04544	349.50111	9295.96664
