Subject	Session	lambda	explore	alphaG_scram	alphaG_fear	alphaG_happy	alphaN_scram	alphaN_fear	alphaN_happy	K	nu	ignore	rho	SSE
10152.00000	1.00000	0.76087	14257.75200	0.01000	0.01000	0.01000	0.14260	0.75769	1.07255	934.44434	3773.43341	595.07651	2238.11939	14891.59044
10644.00000	1.00000	0.84880	5810.56472	0.01000	0.01000	0.01000	0.10488	0.55997	0.39482	4278.81879	2958.80821	3631.48093	8856.38018	11283.25808
10717.00000	1.00000	0.87747	8025.30048	0.01000	0.29825	0.01000	0.09045	0.86704	0.55900	301.54799	1166.82527	591.24887	4184.25670	13658.12185
10811.00000	1.00000	0.77678	11126.03071	0.01000	0.28970	0.01000	0.08550	0.82877	0.73684	1386.96082	121.87089	2763.52859	8898.94412	15310.04709
10814.00000	1.00000	0.94463	1420.24711	0.01000	0.12165	0.17718	0.01000	0.25724	0.41449	1120.09974	536.63078	2990.05989	36.71685	8096.44286
10841.00000	1.00000	0.71313	4465.72727	0.01000	0.01000	0.67979	0.17463	0.85199	1.17097	3071.84878	2165.07125	2707.56487	3208.32571	15113.64049
10895.00000	1.00000	0.77770	16027.39791	0.01000	0.01000	0.01000	0.01000	0.79889	0.62784	3609.74309	2512.56103	246.72078	7061.01073	14067.91808
10910.00000	1.00000	0.87434	3180.94745	0.01000	0.01000	0.01000	0.04027	0.28855	0.47757	3827.60739	3231.56505	3275.52451	3403.85727	11462.71686
10911.00000	1.00000	0.65709	16137.56113	0.01000	0.01000	0.01000	0.10101	0.62697	0.75443	3056.44704	3182.87792	86.75628	2489.49961	14810.63471
10912.00000	1.00000	0.75847	8968.99428	0.01000	0.01000	0.01000	0.13224	0.92358	0.76493	2583.86558	1560.99131	4431.56622	9790.79942	16349.71235
10918.00000	1.00000	0.91062	7208.75400	0.01000	0.01000	0.01000	0.07334	0.33395	0.44364	2573.68104	2972.06973	259.85706	6774.04775	13097.09216
10941.00000	1.00000	0.96754	2097.48323	0.01000	0.11407	0.04225	0.04780	0.17888	0.18366	1422.12311	1438.41535	738.28800	81.19706	8402.78639
10957.00000	1.00000	0.82023	14804.63588	0.01000	0.64142	0.51981	0.02430	1.16315	0.63758	530.91179	4547.89498	1921.77160	1267.15636	14032.02867
10972.00000	1.00000	0.76796	9317.95598	0.01000	0.51343	0.01000	0.01000	0.87918	0.34181	321.47263	3270.50364	3605.23409	1072.40584	10809.87371
10997.00000	1.00000	0.64567	5984.82047	0.01000	0.01000	0.01000	0.09627	0.63165	0.38469	108.84316	1308.05463	3674.12026	4713.96354	13078.73927
11027.00000	1.00000	0.80967	3946.45112	0.01000	0.01000	0.01000	0.06745	0.54371	0.55824	1145.48539	479.96453	2860.91683	157.64608	13768.43072
11046.00000	1.00000	0.93276	2066.64031	0.01000	0.01000	0.01000	0.02196	0.33507	0.14143	2049.10313	4128.09553	3499.64928	8611.42174	10875.29470
11059.00000	1.00000	0.80109	9428.41124	0.01000	0.01000	0.17778	0.05309	0.49791	0.75680	3086.75177	2265.94031	1817.06231	2106.59471	13455.15754
11126.00000	1.00000	0.95882	3888.90682	0.01000	0.36891	0.01000	0.03256	0.42148	0.22299	572.72153	2941.86043	4949.96975	3109.45467	10019.82968
11131.00000	1.00000	0.71786	5360.03695	0.01000	0.01000	0.01000	0.12405	0.57314	0.66807	933.18552	3789.63375	4928.31529	6777.61771	11119.21215
11138.00000	1.00000	0.79099	8110.91953	0.01000	0.01000	0.01000	0.08162	0.74287	0.31497	467.24375	592.29971	1676.17559	3835.22166	15595.37995
