Subject	Session	lambda	explore	alphaG_scram	alphaG_fear	alphaG_happy	alphaN_scram	alphaN_fear	alphaN_happy	K	sticky_decay	ignore	rho	SSE
10152.00000	1.00000	0.30260	40.83678	0.90691	0.83381	0.08453	0.57210	0.77767	0.01000	1018.83322	0.49066	518.57313	141.73261	9215.79233
10385.00000	1.00000	0.41447	1741.51090	0.20723	0.78137	0.28210	0.01000	0.52602	0.01000	890.41022	0.37001	3534.25839	199.55980	10711.10548
10644.00000	1.00000	0.40681	484.09760	0.14267	0.33864	0.24882	0.01000	0.22976	0.01000	599.51470	0.45048	3626.56726	415.75886	7954.04407
10717.00000	1.00000	0.43034	1161.86424	0.32343	0.20252	0.01000	0.01000	0.01000	0.01000	874.02125	0.35852	3517.35130	413.47481	10212.01231
10811.00000	1.00000	0.30633	1288.86228	0.06424	0.28169	0.03172	0.01000	0.01000	0.01000	788.20084	0.53493	1738.12992	48.71015	9625.37188
10814.00000	1.00000	0.44831	-548.94784	0.17934	0.39208	0.45901	0.01475	0.22148	0.44987	493.07992	0.42651	4864.61971	339.55958	5430.41029
10841.00000	1.00000	0.36753	-1819.74245	0.12438	0.01000	0.82351	0.01000	0.01000	0.60857	650.30461	0.44508	3689.89053	486.14417	10461.95702
10895.00000	1.00000	0.21007	-2280.75310	0.09681	0.01000	0.01000	0.01000	0.24535	0.05763	1457.29850	0.34509	1317.07851	284.49797	7659.77081
10910.00000	1.00000	0.43323	-604.45104	0.05972	0.07983	0.01000	0.01000	0.17956	0.02267	626.15193	0.34334	4383.09366	772.11637	8557.80540
10911.00000	1.00000	0.26944	2373.28542	0.09200	0.23678	0.21097	0.01000	0.01000	0.21474	885.73553	0.45831	3456.60924	0.00000	9910.98572
10912.00000	1.00000	0.32413	738.82365	0.34181	0.36405	0.19322	0.01000	0.06245	0.01000	991.04587	0.45511	3044.51145	443.36677	10838.60752
10918.00000	1.00000	0.36384	-0.00000	0.58189	0.26795	0.11877	0.48296	0.01000	0.01000	682.30109	0.51798	504.73939	529.02543	8860.34752
10927.00000	1.00000	0.19681	-1105.38008	0.04228	0.54289	0.29025	0.01000	0.60974	0.30226	1033.25917	0.42730	3076.45095	172.65975	5682.60994
10941.00000	1.00000	0.55468	-435.41136	0.18100	0.28509	0.24763	0.14320	0.01000	0.01000	445.99760	0.35256	2367.95035	201.38776	6480.38737
10945.00000	1.00000	0.45288	-243.13919	0.01000	0.13598	1.16518	0.01000	0.01000	0.92525	733.75674	0.27359	2725.97404	404.02076	10008.10469
10957.00000	1.00000	0.32192	625.89217	0.16875	0.81755	0.39421	0.01000	0.70279	0.01000	1071.95163	0.42684	4478.96543	322.12287	9392.84484
10959.00000	1.00000	0.32532	559.42042	0.01000	0.67428	0.60718	0.01000	0.23908	0.17369	1039.74064	0.40269	3496.41225	182.37370	9770.24092
10960.00000	1.00000	0.39093	-559.55738	0.07212	0.15822	0.03746	0.01000	0.01000	0.01000	581.72138	0.45181	1823.66373	448.20403	9946.57338
10997.00000	1.00000	0.35278	226.70399	0.01000	0.06719	0.15132	0.28588	0.01000	0.01000	585.94243	0.37498	2057.20885	359.94308	10183.19744
11027.00000	1.00000	0.38520	-794.64904	0.05951	0.01225	0.63141	0.01000	0.01000	0.64754	629.27820	0.42806	3384.12719	204.80637	9473.21150
11040.00000	1.00000	0.40949	-620.95321	0.22042	0.10181	0.10321	0.39620	0.15389	0.13775	560.05666	0.38819	1513.02369	530.64256	4769.96170
11043.00000	1.00000	0.23949	904.97910	0.12097	0.51921	0.55018	0.01000	0.01000	0.48046	1279.37525	0.45374	4895.64788	390.25448	8126.93529
11046.00000	1.00000	0.52782	0.00000	0.24494	0.14963	0.26895	0.01000	0.01000	0.01000	375.17028	0.40119	3117.39305	255.54798	8698.26072
11059.00000	1.00000	0.30697	-2424.67392	0.01000	0.15136	0.06768	0.07068	0.01000	0.01000	1008.09418	0.30789	45.02768	271.05948	8710.72686
11075.00000	1.00000	0.46828	-186.26535	0.39041	0.28762	0.40643	0.01000	0.13552	0.10357	745.81938	0.35401	3935.43010	344.86195	8809.15663
11126.00000	1.00000	0.55982	-255.89439	0.24482	0.20343	0.37101	0.05672	0.01000	0.22105	485.20222	0.33682	2387.25377	285.40306	8421.68887
11131.00000	1.00000	0.37004	-923.21285	0.01000	0.01000	0.11052	0.01831	0.01000	0.20875	428.04775	0.47985	4751.85030	166.25507	8069.61708
11138.00000	1.00000	0.34639	-2426.70711	0.59349	0.45699	0.35343	0.33527	0.40535	0.01000	975.29185	0.43042	4965.54546	188.05882	10521.23548
11165.00000	1.00000	0.46124	-80.25637	0.10379	0.04838	0.41494	0.12050	0.01000	0.38345	226.08631	0.45219	2438.72941	225.69896	4069.83130
11173.00000	1.00000	0.40969	-324.70893	0.25796	0.05437	0.15537	0.39117	0.01000	0.25468	321.00754	0.45838	2610.83118	272.35980	10019.78159
11177.00000	1.00000	0.53210	-821.54284	0.36872	0.35043	0.28645	0.01000	0.25847	0.01000	612.43450	0.35316	1271.92533	401.80467	8325.06442
11180.00000	1.00000	0.27000	-2200.13019	0.02461	0.01000	0.01000	0.01000	0.01000	0.06507	1078.52578	0.36164	4549.36231	165.79027	9918.90587
11184.00000	1.00000	0.52483	-1172.62203	0.01000	0.01000	0.09429	0.16522	0.02974	0.01000	463.98255	0.26909	401.62440	335.10165	9743.58569
11188.00000	1.00000	0.34600	-500.25127	0.51413	0.29362	0.06681	0.01000	0.01000	0.01000	973.42921	0.45743	2514.86368	297.04260	9051.45894
11189.00000	1.00000	0.39847	-1003.03909	0.77042	0.45066	0.35507	0.60758	0.01000	0.28170	874.10006	0.33505	1112.61833	635.11960	7856.39161
11193.00000	1.00000	0.50626	-587.57819	0.05864	0.48679	0.57014	0.01000	0.51543	0.71381	637.36088	0.19744	236.11090	359.02407	9143.97484
