Subject	Session	lambda	explore	alphaG	alphaN_scram	alphaN_fear	alphaN_happy	K	sticky_decay	ignore	rho	SSE
10152.00000	1.00000	0.30916	0.00000	0.66281	0.31078	0.53330	0.48413	977.05501	0.50356	945.62423	171.36183	9360.52986
10385.00000	1.00000	0.41344	1674.42642	0.27925	0.01000	0.01000	0.01000	899.69878	0.37394	3789.03273	213.48573	10746.67666
10644.00000	1.00000	0.41016	625.03970	0.22706	0.06236	0.11884	0.01000	594.31429	0.44719	412.10064	406.52529	7976.19667
10717.00000	1.00000	0.43282	1049.03972	0.26108	0.01000	0.02390	0.18013	860.32895	0.36214	433.97910	363.07870	10286.06583
10811.00000	1.00000	0.30739	1016.11139	0.20781	0.11426	0.01000	0.13251	779.67994	0.54045	408.60767	33.88599	9682.73161
10814.00000	1.00000	0.45079	-549.45173	0.31650	0.17156	0.14582	0.30994	479.39977	0.42844	3897.95965	312.97152	5447.66359
10841.00000	1.00000	0.37301	-2268.64281	0.05106	0.01000	0.10741	0.06641	592.10840	0.44063	1963.90320	586.20200	10553.24712
10895.00000	1.00000	0.20996	-2012.03918	0.01127	0.01000	0.29985	0.10675	1430.94887	0.34216	2134.48171	273.26532	7673.71246
10910.00000	1.00000	0.43406	-612.20042	0.01000	0.01000	0.12365	0.05123	615.64080	0.33920	3479.70619	789.54770	8561.80079
10911.00000	1.00000	0.27037	2363.38567	0.18278	0.09652	0.01000	0.19077	877.49739	0.46116	2883.61455	0.00000	9928.23846
10912.00000	1.00000	0.32463	742.19752	0.33986	0.01000	0.03517	0.13538	988.81925	0.45631	570.56220	428.84704	10845.14938
10918.00000	1.00000	0.36557	-0.00000	0.29517	0.16889	0.01000	0.12577	665.06823	0.52647	1288.78210	531.57361	8918.41481
10927.00000	1.00000	0.20610	-1336.23641	0.30222	0.26552	0.34826	0.30185	1003.80393	0.44030	2808.80080	225.06266	5781.05980
10941.00000	1.00000	0.55580	-452.40375	0.25922	0.23878	0.01000	0.01000	445.55618	0.35159	3472.35717	190.18753	6486.53392
10945.00000	1.00000	0.46774	-784.28624	0.06845	0.12512	0.01000	0.01000	662.09792	0.27126	1273.07171	484.36163	10172.34056
10957.00000	1.00000	0.32076	166.91176	0.27965	0.01000	0.17220	0.01000	1058.82312	0.44219	2590.42262	330.80647	9486.97642
10959.00000	1.00000	0.34076	729.76326	0.34270	0.38786	0.01000	0.01000	956.82323	0.41570	622.47280	161.98975	9974.88078
10960.00000	1.00000	0.39119	-631.32101	0.11749	0.01000	0.01000	0.02953	588.55277	0.45236	65.37817	448.55953	9963.69407
10997.00000	1.00000	0.35424	271.54273	0.01000	0.34215	0.01000	0.01000	560.08300	0.36941	621.63968	342.02854	10202.58933
11027.00000	1.00000	0.38992	-1079.65734	0.04915	0.01000	0.01000	0.12737	617.31474	0.42143	510.25020	242.61081	9547.29248
11040.00000	1.00000	0.40986	-611.91501	0.16098	0.33279	0.21441	0.18537	559.46413	0.39054	1185.45145	513.19329	4775.06511
11043.00000	1.00000	0.24101	-1037.10428	0.39580	0.22509	0.01000	0.28710	1288.02148	0.45971	263.34267	371.23665	8256.91059
11046.00000	1.00000	0.52919	0.00000	0.23156	0.01000	0.01000	0.01000	369.08735	0.40269	3033.99492	272.68475	8718.12158
11059.00000	1.00000	0.30787	-2438.99789	0.09209	0.15793	0.01000	0.01000	1000.42334	0.31019	2496.89846	242.78938	8720.13347
11075.00000	1.00000	0.46841	-209.41908	0.38056	0.01000	0.21914	0.08616	744.07364	0.35278	2882.91734	344.73873	8810.37616
11126.00000	1.00000	0.56088	-228.20021	0.22606	0.04395	0.03433	0.07533	482.04888	0.33514	2427.28448	291.53272	8425.48330
11131.00000	1.00000	0.36994	-910.11895	0.01000	0.01692	0.01000	0.11573	425.95892	0.48060	3896.39219	178.08494	8071.74801
11138.00000	1.00000	0.34633	-2296.77582	0.42012	0.14046	0.34736	0.01706	968.06420	0.43769	4306.19550	182.65122	10534.99095
11165.00000	1.00000	0.47005	-224.91549	0.07178	0.08388	0.01000	0.13411	208.88338	0.45020	2855.18403	248.58797	4106.18915
11173.00000	1.00000	0.41081	-364.70579	0.08696	0.18239	0.01000	0.19958	313.91920	0.45775	1250.64649	277.78309	10033.24109
11177.00000	1.00000	0.53249	-820.12208	0.34820	0.01000	0.25603	0.05900	609.24527	0.35353	1094.96788	404.37047	8333.31583
11180.00000	1.00000	0.27005	-2191.36739	0.01000	0.01000	0.01000	0.07013	1075.97263	0.36097	3039.44248	170.77521	9919.23477
11184.00000	1.00000	0.52548	-1109.67337	0.01827	0.20842	0.06343	0.01000	448.34392	0.26788	3512.84956	331.62766	9751.29949
11188.00000	1.00000	0.35332	-695.96281	0.39170	0.01000	0.12664	0.31074	939.25481	0.45540	2801.79728	305.47541	9157.91917
11189.00000	1.00000	0.39992	-1010.97940	0.52358	0.30788	0.07625	0.45117	861.78394	0.33518	2501.36369	656.58925	7885.74088
11193.00000	1.00000	0.51107	-649.62646	0.14161	0.01000	0.17688	0.33589	629.87094	0.20554	1112.95809	417.47358	9196.48362
