Subject	Session	lambda	explore	alphaG	alphaL	K	nu	ignore	rho	SSE
10152.00000	1.00000	0.36304	1463.59134	0.53196	0.53771	1357.94584	0.09545	1647.98459	259.92584	11038.44622
10644.00000	1.00000	0.43288	1130.54249	0.15533	0.26119	1020.99817	0.28250	2400.45534	344.71485	8541.02074
10717.00000	1.00000	0.34800	1241.70275	0.23463	0.10193	1529.53817	0.33025	158.24766	86.37122	10077.67296
10811.00000	1.00000	0.24672	731.12136	0.01000	0.13482	1484.32841	0.25661	2185.04457	0.00000	10412.70375
10814.00000	1.00000	0.47701	24.91398	0.40339	0.32889	928.95012	0.29344	1525.41721	234.57557	6494.59622
10841.00000	1.00000	0.41384	0.00000	0.01000	0.19338	850.14479	0.15353	3255.18480	483.90340	12347.25020
10895.00000	1.00000	0.21316	1299.48943	0.01000	0.17540	1610.31481	0.00000	2243.82808	262.97924	8326.33146
10910.00000	1.00000	0.50348	0.00000	0.01000	0.21281	814.42839	0.14705	84.95995	653.13616	9185.65084
10911.00000	1.00000	0.24806	2104.15361	0.01000	0.07921	1178.08845	0.12895	4704.30567	0.00000	10568.52676
10912.00000	1.00000	0.28943	533.98969	0.19504	0.10171	1487.27550	0.21763	3669.23026	393.89458	11466.35809
10918.00000	1.00000	0.35063	0.00000	0.01000	0.06016	1515.65460	0.38578	1283.58807	276.25941	9471.74535
10941.00000	1.00000	0.42529	140.59149	0.10842	0.09364	1314.71814	0.47238	2035.18239	19.38751	6343.29726
10957.00000	1.00000	0.33718	2256.49473	0.08161	0.01000	1469.44212	0.12067	2870.16881	339.14257	10184.27062
10972.00000	1.00000	0.15725	87.27693	0.31687	0.41552	1246.63695	0.05063	2751.79400	237.62749	6266.46718
10997.00000	1.00000	0.38636	961.80733	0.01000	0.01000	763.42793	0.08657	940.87017	345.78634	10926.13487
11027.00000	1.00000	0.40281	0.00000	0.01000	0.06072	1010.10680	0.20442	2350.69496	2.22363	10632.35509
11046.00000	1.00000	0.64018	0.00000	0.06065	0.01000	732.92808	0.22064	18.63636	173.48070	9657.87073
11059.00000	1.00000	0.31696	0.00000	0.01000	0.01000	1169.72896	0.05476	4206.06587	217.89855	9282.92917
11126.00000	1.00000	0.61274	142.26947	0.29822	0.23650	888.55658	0.22914	836.32241	232.41455	8736.23139
11131.00000	1.00000	0.37558	70.62942	0.01000	0.21496	737.07759	0.23670	2053.74925	0.00000	9252.05003
11138.00000	1.00000	0.33695	0.00000	0.28609	0.28511	1371.66818	0.21369	4167.83184	0.00000	11755.57809
