Subject	Session	lambda	explore	alphaG	alphaN	K	nu	ignore	rho	SSE
10152.00000	1.00000	0.16270	0.00000	0.79038	0.73212	1718.10903	0.15763	2434.00948	609.81774	4386.47118
10385.00000	1.00000	0.29967	0.00000	0.01000	0.01000	1561.76299	0.33063	1697.53909	0.00000	5605.94082
10644.00000	1.00000	0.42977	1090.23542	0.29424	0.57225	927.52477	0.25551	1298.68097	133.32270	4581.58421
10717.00000	1.00000	0.39825	3366.03693	0.28519	0.01000	1356.33206	0.21072	1517.89771	511.55499	6339.66350
10811.00000	1.00000	0.27290	0.00000	0.01000	0.01000	1460.02810	0.31873	3242.74117	0.00000	5817.37430
10814.00000	1.00000	0.39254	1299.34912	0.66451	0.60919	1010.05185	0.24352	801.76359	471.96640	3063.03209
10841.00000	1.00000	0.35043	0.00000	0.01102	0.01000	1213.78756	0.12289	3945.12353	0.00000	6636.71055
10895.00000	1.00000	0.20262	0.00000	0.01000	0.02453	1616.77534	0.00000	1770.72866	0.00000	4311.49458
10910.00000	1.00000	0.40197	562.46193	0.01000	0.48577	874.48504	0.08196	3037.66787	980.12590	4628.58744
10911.00000	1.00000	0.16271	1008.33336	0.01000	0.01000	1371.20867	0.15367	4445.73164	0.00000	5432.88286
10912.00000	1.00000	0.35000	1219.27145	0.17841	0.01000	1368.93997	0.25594	3928.59296	407.98258	6315.70960
10918.00000	1.00000	0.35940	209.45838	1.24327	1.40793	1604.10193	0.22979	4848.59057	440.25490	5479.26699
10927.00000	1.00000	0.09389	0.00000	0.10016	0.04544	1432.04316	0.07892	4637.98204	378.47324	3013.33998
10941.00000	1.00000	0.45453	129.18698	0.17705	0.23416	1347.00183	0.38501	3431.21726	112.68034	3545.56848
10945.00000	1.00000	0.56020	844.43699	0.01000	0.01000	827.74924	0.04399	890.82962	152.40795	6636.74459
10957.00000	1.00000	0.45031	4055.80081	0.07371	0.01000	1198.39052	0.14300	2060.86773	0.00000	5696.03630
10959.00000	1.00000	0.24543	5591.13724	0.01000	0.01000	1643.45935	0.21689	901.76813	270.20339	6197.15546
10960.00000	1.00000	0.35236	3860.89801	0.01000	0.01000	1072.77812	0.12407	768.31125	501.88701	5569.44819
10997.00000	1.00000	0.38754	0.00000	0.01000	0.18292	761.15914	0.22773	1603.30985	344.71890	5967.20530
11027.00000	1.00000	0.38319	0.00000	0.24566	0.01000	1302.32011	0.07762	1209.54102	0.00000	6093.50803
11040.00000	1.00000	0.51893	1281.51640	0.26297	0.40167	899.15086	0.31035	1503.08022	117.89940	2384.31370
11043.00000	1.00000	0.15200	3597.50872	0.05382	0.01000	1875.78270	0.20356	2941.65221	204.30740	5232.35440
11046.00000	1.00000	0.67276	419.82298	0.98863	0.98486	660.01838	0.00000	4757.60240	0.00000	5137.90928
11059.00000	1.00000	0.30540	0.00000	0.10810	0.13899	1225.06698	0.16988	3688.26948	0.00000	5451.97938
11075.00000	1.00000	0.53238	154.11645	0.39863	0.01000	1091.63273	0.18359	4674.66263	147.61666	5179.72049
11126.00000	1.00000	0.46874	0.00000	0.15528	0.01000	1368.10003	0.34243	3669.20716	0.00000	4525.34250
11131.00000	1.00000	0.39307	1003.73897	0.01000	0.02409	729.60374	0.36390	2627.47371	0.00000	4371.34431
11138.00000	1.00000	0.33025	8136.37121	1.21723	1.17098	1406.10821	0.26188	93.15390	415.86355	5677.94587
11165.00000	1.00000	0.39697	267.32811	0.01000	0.10011	584.27184	0.43777	909.88712	199.45788	1946.65229
11173.00000	1.00000	0.44331	0.00000	0.01000	0.06915	614.38435	0.19232	1234.13573	154.40591	6492.44945
11177.00000	1.00000	0.44325	0.00000	0.07836	0.01000	1060.54401	0.26295	4709.63932	900.59875	5930.26655
11180.00000	1.00000	0.23840	1529.88240	0.01000	0.49035	1096.41608	0.17180	3550.26758	306.37387	6272.00935
11184.00000	1.00000	0.68783	114.38919	0.01000	0.24035	329.46166	0.21492	2668.46724	33.51791	5086.18538
11188.00000	1.00000	0.36184	1771.93857	0.31995	0.01000	1447.07330	0.12002	3851.70728	709.74363	5185.80521
11189.00000	1.00000	0.41839	233.05834	0.41726	0.29461	1012.80994	0.05978	4227.38049	871.27031	4346.03050
11193.00000	1.00000	0.55706	0.00000	0.12955	0.01000	845.82463	0.03095	1583.75691	261.75447	6195.65105
