Subject	Session	lambda	explore	alphaG	alphaN	K	sticky_decay	ignore	rho	SSE
10152.00000	1.00000	0.31040	0.00000	0.59882	0.35155	962.29746	0.50779	540.11882	232.40688	9403.13694
10385.00000	1.00000	0.41344	1674.42660	0.27925	0.01000	899.69876	0.37394	1579.90524	213.48560	10746.67666
10644.00000	1.00000	0.41092	560.76366	0.19107	0.01000	591.95275	0.44868	443.07629	411.55859	7990.01697
10717.00000	1.00000	0.43257	937.70414	0.23609	0.01000	858.31835	0.37030	2522.61154	322.24981	10327.85154
10811.00000	1.00000	0.30727	891.69760	0.15634	0.01000	777.29490	0.54399	4230.76528	49.90650	9701.43872
10814.00000	1.00000	0.45421	-456.44936	0.33421	0.20766	466.06931	0.43380	157.85227	309.40676	5495.16611
10841.00000	1.00000	0.37256	-2222.43213	0.05000	0.01000	604.00560	0.44528	4124.94736	574.19010	10564.94234
10895.00000	1.00000	0.21933	-1975.15964	0.01000	0.05571	1407.57271	0.36785	3717.49644	263.33575	7789.82553
10910.00000	1.00000	0.43605	-555.34877	0.01000	0.03870	607.44726	0.34601	1508.39290	776.02021	8582.24726
10911.00000	1.00000	0.27284	2325.90131	0.11825	0.01000	859.06426	0.47473	2682.86299	0.00000	9965.52681
10912.00000	1.00000	0.32544	818.18825	0.30473	0.01000	989.76649	0.45650	3678.72654	443.18673	10862.55299
10918.00000	1.00000	0.36653	-0.00000	0.22797	0.01000	659.64423	0.53003	3760.27512	494.98980	8954.73998
10927.00000	1.00000	0.20691	-1275.63315	0.30046	0.31374	995.70320	0.44217	3408.42162	225.22644	5790.32046
10941.00000	1.00000	0.56560	-522.15471	0.15777	0.01000	416.78554	0.34388	4503.01145	146.07192	6563.81416
10945.00000	1.00000	0.46873	-855.15363	0.01426	0.01000	651.96817	0.26978	905.41586	475.86272	10183.48782
10957.00000	1.00000	0.32044	0.00000	0.24089	0.01000	1061.99469	0.44553	1741.19446	337.38119	9530.45075
10959.00000	1.00000	0.34422	269.69743	0.18339	0.01000	904.61293	0.42525	1795.34091	175.14829	10102.76578
10960.00000	1.00000	0.39103	-639.46314	0.11484	0.01000	589.80083	0.45284	3344.15223	451.32325	9964.19280
10997.00000	1.00000	0.35430	85.66389	0.01000	0.01000	575.05211	0.38186	1320.42364	315.01399	10279.45704
11027.00000	1.00000	0.39030	-971.43835	0.02716	0.01000	607.99221	0.42747	1560.02354	241.83631	9567.03577
11040.00000	1.00000	0.41233	-689.15800	0.17786	0.27187	560.68970	0.38585	4975.64550	506.83717	4817.31708
11043.00000	1.00000	0.24591	-1116.49882	0.26958	0.01000	1254.60908	0.47063	3761.48180	385.98151	8337.92912
11046.00000	1.00000	0.52919	0.00000	0.23155	0.01000	369.07276	0.40269	669.52893	272.68633	8718.12158
11059.00000	1.00000	0.30901	-2271.09586	0.07491	0.01000	993.74137	0.32120	2040.55019	246.04505	8741.56384
11075.00000	1.00000	0.47139	-18.27304	0.39433	0.07848	726.42172	0.36508	3371.08136	315.00494	8862.34105
11126.00000	1.00000	0.56103	-266.57032	0.22496	0.04513	485.50954	0.33445	2587.31026	291.49404	8427.75864
11131.00000	1.00000	0.36999	-957.88798	0.01000	0.01000	433.43185	0.48454	234.45033	176.48857	8089.61480
11138.00000	1.00000	0.35322	-2825.88286	0.35613	0.15676	945.97081	0.42984	4699.40438	190.78103	10624.24710
11165.00000	1.00000	0.47407	-247.47261	0.07232	0.06806	197.65036	0.45177	306.91823	217.12183	4134.97039
11173.00000	1.00000	0.41227	-267.76594	0.01000	0.05367	299.20694	0.45890	2633.48475	314.99153	10072.71902
11177.00000	1.00000	0.53819	-852.66466	0.27907	0.01000	576.32179	0.36246	323.45653	369.20131	8429.24593
11180.00000	1.00000	0.27022	-2229.99686	0.01000	0.01000	1080.77715	0.36394	4588.79274	173.78344	9923.69164
11184.00000	1.00000	0.52694	-1118.30712	0.01000	0.02245	458.68339	0.27139	4611.80489	315.25679	9777.95055
11188.00000	1.00000	0.35808	-626.69114	0.29337	0.01000	902.85975	0.46506	4957.04420	336.00844	9250.76999
11189.00000	1.00000	0.41210	-1251.15552	0.50143	0.26893	816.44897	0.33973	2062.73450	594.41458	8050.60289
11193.00000	1.00000	0.51970	-789.69277	0.18576	0.16754	634.24583	0.20722	1752.64790	340.89725	9310.46098
