Subject	Session	lambda	explore	alphaG	alphaN	K	sticky_decay	ignore	rho	SSE
10152.00000	1.00000	0.19792	-0.00000	1.13339	1.07773	1549.09245	0.38970	230.95234	790.73359	4260.25097
10385.00000	1.00000	0.43036	2102.02802	0.34348	0.01000	980.81718	0.34690	4605.27438	65.17752	5941.71523
10644.00000	1.00000	0.41066	-2373.19513	0.08319	0.05789	801.84955	0.32860	2242.61543	240.33700	4430.44317
10717.00000	1.00000	0.44172	2399.57115	0.37628	0.01000	1033.77855	0.25080	1454.14056	684.20909	6466.16252
10811.00000	1.00000	0.35040	0.00000	0.03609	0.01000	777.52278	0.46711	1709.49557	0.00000	5494.04969
10814.00000	1.00000	0.39120	943.97873	0.62286	0.54667	644.49325	0.42038	4127.01134	534.44168	2673.39281
10841.00000	1.00000	0.35005	-6547.50307	0.19242	0.01000	982.26172	0.35725	3545.44298	189.22657	5697.92469
10895.00000	1.00000	0.21100	-4829.49706	0.01000	0.01000	1424.68186	0.32538	922.60229	61.83482	3908.67131
10910.00000	1.00000	0.35382	192.81368	0.01000	0.21352	704.16252	0.39795	316.53662	884.38623	4236.81210
10911.00000	1.00000	0.21304	960.91976	0.12549	0.01000	962.51194	0.54819	2179.32490	0.00000	5237.88679
10912.00000	1.00000	0.37089	-1261.35565	0.37005	0.01000	1042.80656	0.37076	4565.75332	385.47945	6072.68927
10918.00000	1.00000	0.31091	-421.33931	1.06533	0.90995	1004.84657	0.54925	1289.09019	603.54374	4838.79213
10927.00000	1.00000	0.13621	-633.32156	0.15912	0.10909	1287.43734	0.30013	4982.67987	456.45181	2969.12982
10941.00000	1.00000	0.52417	-538.16234	0.33312	0.26642	756.30466	0.30430	1390.95119	323.60762	3555.86666
10945.00000	1.00000	0.50787	-1411.00641	0.01000	0.01000	760.81781	0.15181	2874.84058	198.16397	6470.07145
10957.00000	1.00000	0.41435	2205.19199	0.20330	0.01000	863.34345	0.36913	4684.89951	0.00000	5387.66185
10959.00000	1.00000	0.29085	3889.15716	0.09291	0.01000	1121.67588	0.45790	2773.37106	242.90987	6159.62429
10960.00000	1.00000	0.35939	4158.56148	0.01000	0.01000	808.45333	0.32756	985.58300	675.37447	5348.78525
10997.00000	1.00000	0.42130	-0.00000	0.01000	0.03704	459.88753	0.39688	4224.18995	303.52906	5789.67898
11027.00000	1.00000	0.36591	-1997.62945	0.31037	0.01000	1105.19683	0.30950	2897.57953	0.00000	5674.50819
11040.00000	1.00000	0.49735	-1501.30813	0.28323	0.53855	687.04426	0.19875	4921.17223	437.43403	2498.03065
11043.00000	1.00000	0.22657	3843.13875	0.30308	0.01000	1419.06261	0.47960	2027.97031	528.85271	5043.96900
11046.00000	1.00000	0.50831	256.75133	0.63975	0.44147	553.40370	0.34083	2808.71480	0.00000	4587.07936
11059.00000	1.00000	0.34695	-3584.59575	0.44077	0.17445	1130.11661	0.26081	2864.27413	0.00000	5299.73656
11075.00000	1.00000	0.52109	-613.46778	0.53096	0.01000	963.89612	0.19998	4462.80147	283.97210	5196.87595
11126.00000	1.00000	0.49867	-388.29451	0.72787	0.39194	713.70966	0.38932	156.68653	375.03999	4492.36972
11131.00000	1.00000	0.42107	-1012.74568	0.01000	0.01000	351.67572	0.46337	3871.53897	136.91141	3934.29245
11138.00000	1.00000	0.35663	4402.33169	1.44487	1.46037	923.50526	0.42688	1234.13836	446.89279	5753.78739
11165.00000	1.00000	0.49256	-448.55304	0.01000	0.03615	243.86855	0.38154	3754.03925	300.62730	1776.82719
11173.00000	1.00000	0.41281	0.00000	0.15329	0.27924	277.42764	0.46600	228.76226	195.79295	5810.78318
11177.00000	1.00000	0.44501	-535.98778	0.19962	0.01000	597.26600	0.39986	325.65744	880.24889	5324.29426
11180.00000	1.00000	0.26001	1000.11946	0.13143	0.39786	844.81643	0.45604	3291.75005	320.13032	6168.40473
11184.00000	1.00000	0.59489	-1407.27201	0.01000	0.01000	267.68010	0.31287	2632.86273	257.20868	4742.47970
11188.00000	1.00000	0.34835	1871.71747	0.46943	0.01000	1024.08969	0.42434	4694.51108	589.12890	4611.50677
11189.00000	1.00000	0.39781	-392.87100	0.49755	0.37534	988.51052	0.13208	1622.01993	907.12278	4306.76124
11193.00000	1.00000	0.50440	-1748.75994	0.29072	0.01000	872.26460	0.16733	4409.65786	209.02047	5993.28184
