Subject	Session	lambda	explore_scram	explore_fear	explore_happy	alphaG	alphaN	K	nu	ignore	rho	SSE
10152.00000	1.00000	0.37659	0.00000	3100.79471	5668.75593	0.46968	0.52458	1304.14852	0.09459	3914.92670	211.90617	10972.86761
10385.00000	1.00000	0.32974	306.24331	2299.03186	2425.27787	0.01000	0.01000	1460.77099	0.31122	1977.01089	42.80642	10334.90766
10644.00000	1.00000	0.43081	1404.74465	224.56965	1496.17134	0.18333	0.28193	1027.12008	0.28870	1254.42007	325.95350	8532.40648
10717.00000	1.00000	0.35079	3701.96087	0.00000	1082.40303	0.22605	0.06428	1534.45884	0.33442	3827.60739	59.74574	10027.89099
10811.00000	1.00000	0.25841	0.00000	1451.91155	3863.29699	0.01000	0.15200	1444.19003	0.24761	3817.01390	0.00000	10343.41144
10814.00000	1.00000	0.48849	1913.03825	0.00000	0.00000	0.45433	0.37798	909.44194	0.28560	1532.44457	275.53651	6419.01013
10841.00000	1.00000	0.41384	0.00000	0.00000	0.00000	0.01000	0.19338	850.14478	0.15353	4530.32011	483.90341	12347.25020
10895.00000	1.00000	0.21700	0.00000	152.05630	6065.01796	0.01000	0.16629	1596.53473	0.00000	2961.57501	257.33104	8209.56881
10910.00000	1.00000	0.50579	0.00000	475.39948	0.00000	0.01000	0.21249	808.19412	0.14893	1058.81562	647.98684	9181.79742
10911.00000	1.00000	0.24780	3779.06874	1742.40363	1434.60220	0.01000	0.08406	1175.92786	0.12970	506.34789	0.00000	10556.92664
10912.00000	1.00000	0.31259	718.71704	0.00000	7467.89459	0.19632	0.09211	1424.94720	0.20597	2172.58495	412.25312	11261.60130
10918.00000	1.00000	0.35430	0.00000	726.91170	0.00000	0.01000	0.06099	1505.35530	0.38336	1907.85413	287.96844	9468.36287
10927.00000	1.00000	0.17253	993.45216	0.00000	1377.20890	0.29164	0.38619	1215.74501	0.04325	3283.11593	240.73486	6239.82731
10941.00000	1.00000	0.43015	530.60620	0.00000	668.77199	0.12050	0.09831	1309.37018	0.47348	2116.07184	19.77109	6327.22597
10945.00000	1.00000	0.49964	943.18971	4165.67956	0.00000	0.01000	0.04572	869.81308	0.12280	4028.15167	486.15443	10580.71498
10957.00000	1.00000	0.33761	1649.33702	2693.04006	2470.38016	0.08100	0.01000	1467.78057	0.11976	1595.04528	337.08370	10182.10993
10959.00000	1.00000	0.34964	5948.09509	0.00000	0.00000	0.01000	0.01000	1266.78061	0.13926	3064.80750	293.89149	10786.33242
10960.00000	1.00000	0.37079	4884.82145	0.00000	954.58266	0.03060	0.01000	1018.83903	0.30744	697.02973	286.08891	10044.38816
10997.00000	1.00000	0.39003	446.55224	868.39091	1860.62449	0.01000	0.01000	755.91721	0.08348	2015.92626	317.68081	10906.27080
11027.00000	1.00000	0.40281	0.00000	0.00000	0.00000	0.01000	0.06072	1010.10666	0.20442	1207.42326	2.22493	10632.35509
11040.00000	1.00000	0.33505	0.00000	0.00000	1540.37209	0.09783	0.22769	1079.19832	0.40380	3604.99632	322.12592	4977.75578
11043.00000	1.00000	0.20668	3301.05460	0.00000	1242.60743	0.03895	0.01000	1650.52249	0.13829	3318.77724	442.14093	8881.07582
11046.00000	1.00000	0.64194	212.42248	180.14089	0.00000	0.05997	0.01000	727.40393	0.22126	1917.30128	172.61187	9656.49475
11059.00000	1.00000	0.32428	0.00000	0.00000	2357.97991	0.01000	0.01000	1155.29995	0.05454	38.48323	213.51903	9268.89068
11075.00000	1.00000	0.44995	692.35054	937.12327	0.00000	0.55849	0.44044	1248.96262	0.34590	4753.13829	80.48744	8648.67666
11126.00000	1.00000	0.61773	852.89032	414.89963	0.00000	0.30847	0.25046	876.48861	0.22895	4005.34712	224.24734	8728.61166
11131.00000	1.00000	0.39125	481.58048	0.00000	2292.05878	0.01000	0.23159	695.92196	0.23008	1151.94365	0.00000	9197.72288
11138.00000	1.00000	0.34235	1441.41005	0.00000	0.00000	0.29601	0.30039	1350.29540	0.21808	1752.77359	0.00000	11741.42193
11165.00000	1.00000	0.34634	258.57130	456.25861	0.00000	0.07799	0.15796	726.11553	0.56112	3960.01537	0.00000	4343.31268
11173.00000	1.00000	0.44457	0.00000	0.00000	0.00000	0.02726	0.26164	610.01158	0.23764	1969.60965	115.05070	11013.94890
11177.00000	1.00000	0.45610	0.00000	0.00000	0.00000	0.06851	0.01298	1339.55550	0.41177	4642.14959	157.76660	8969.05412
11180.00000	1.00000	0.24944	685.97621	3085.30491	0.00000	0.01000	0.21721	1184.27010	0.15907	3549.36123	39.61426	10046.11297
11184.00000	1.00000	0.57187	0.00000	3184.40641	1396.72816	0.01000	0.15929	546.81631	0.16495	4478.36958	350.25306	10039.15660
11188.00000	1.00000	0.27756	0.00000	0.00000	0.00000	0.06129	0.01012	1647.53431	0.31886	4653.73574	264.91141	9827.18562
11189.00000	1.00000	0.38800	0.00000	2222.26074	0.00000	0.45305	0.35342	1096.35635	0.29956	4460.75723	259.91051	8211.47260
11193.00000	1.00000	0.56641	0.00000	0.00000	0.00000	0.20268	0.34496	713.52055	0.09120	1691.59288	310.81529	9534.35608
