#Subj:	1000
#Run:	1
#Age:	30
#Gender:	male
#06-Dec-2012
Func	Run	Trial	Block	Null	trialStartTime	Mag	ScoreInc	Freq	EV	RT	Emotion	Image
DEV	   1	   1	   1	   0	1.786258e+02	  82	   0	4.417544e-01	3.610375e+01	2201	happy	happy_13.png	
DEV	   1	   2	   1	   0	1.853300e+02	  76	  76	6.753638e-01	5.104100e+01	 868	happy	happy_12.png	
DEV	   1	   3	   1	   0	1.910134e+02	  73	  73	7.722593e-01	5.610277e+01	 470	happy	happy_19.png	
DEV	   1	   4	   1	   0	1.975186e+02	  75	  75	7.090731e-01	5.290554e+01	 724	happy	happy_8.png	
DEV	   1	   5	   1	   0	2.045464e+02	  72	  72	6.687690e-01	4.799008e+01	 897	happy	happy_2.png	
DEV	   1	   6	   1	   0	2.111492e+02	  67	   0	7.645608e-01	5.114970e+01	 500	happy	happy_1.png	
DEV	   1	   7	   1	   0	2.171337e+02	  74	  74	7.209011e-01	5.353562e+01	 675	happy	happy_11.png	
DEV	   1	   8	   1	   0	2.232149e+02	  77	  77	7.206580e-01	5.568478e+01	 676	happy	happy_4.png	
DEV	   1	   9	   1	   0	2.291095e+02	  71	  71	7.167774e-01	5.116713e+01	 692	happy	happy_6.png	
DEV	   1	  10	   1	   0	2.357065e+02	  75	   0	7.131565e-01	5.383772e+01	 707	happy	happy_7.png	
DEV	   1	  11	   1	   0	2.421496e+02	  69	  69	7.423348e-01	5.093045e+01	 588	happy	happy_10.png	
DEV	   1	  12	   1	   0	2.488484e+02	  70	  70	7.627732e-01	5.336280e+01	 507	happy	happy_5.png	
DEV	   1	  13	   1	   0	2.561774e+02	  74	   0	7.133974e-01	5.313743e+01	 706	happy	happy_3.png	
DEV	   1	  14	   1	   0	2.616923e+02	  67	  67	8.063013e-01	5.440096e+01	 340	happy	happy_18.png	
DEV	   1	  15	   1	   0	2.686286e+02	  78	  78	5.730204e-01	4.486457e+01	1358	happy	happy_15.png	
DEV	   1	  16	   1	   0	2.752582e+02	  72	  72	5.713239e-01	4.132873e+01	1367	happy	happy_20.png	
DEV	   1	  17	   1	   0	2.814541e+02	  81	  81	5.856644e-01	4.742063e+01	1292	happy	happy_9.png	
DEV	   1	  18	   1	   0	2.884099e+02	  78	  78	5.611006e-01	4.354205e+01	1422	happy	happy_17.png	
DEV	   1	  19	   1	   0	2.961808e+02	  81	  81	5.228314e-01	4.213149e+01	1641	happy	happy_14.png	
