#Subj:	1001
#Run:	1
#Age:	22
#Gender:	female
#07-Dec-2012
#Subj:	1001
#Run:	1
#Age:	27
#Gender:	female
#07-Dec-2012
Func	Run	Trial	Block	Null	trialStartTime	Mag	ScoreInc	Freq	EV	RT	Emotion	Image
CEVR	   1	   1	  18	   0	1.054580e+02	 162	   0	2.275923e-01	3.677241e+01	 610	fear	fear_6.png	
CEVR	   1	   2	  18	   0	1.131568e+02	  83	   0	4.292343e-01	3.571230e+01	3283	fear	fear_13.png	
CEVR	   1	   3	  18	   0	1.201663e+02	 102	 102	3.640708e-01	  37	2743	fear	fear_3.png	
CEVR	   1	   4	  18	   0	1.262451e+02	 136	 136	2.787944e-01	3.783638e+01	1655	fear	fear_12.png	
CEVR	   1	   5	  18	   0	1.332579e+02	 157	   0	2.322453e-01	3.653551e+01	 724	fear	fear_11.png	
CEVR	   1	   6	  18	   0	1.411077e+02	 139	 139	2.656955e-01	3.700000e+01	1426	fear	fear_9.png	
CEVR	   1	   7	  18	   0	1.480471e+02	 124	 124	2.971547e-01	3.670285e+01	1942	fear	fear_19.png	
CEVR	   1	   8	  18	   0	1.551033e+02	 140	   0	2.569954e-01	3.597202e+01	1261	fear	fear_17.png	
CEVR	   1	   9	  18	   0	1.620552e+02	 132	   0	2.762961e-01	3.644741e+01	1613	fear	fear_4.png	
CEVR	   1	  10	  18	   0	1.693523e+02	 119	   0	3.244801e-01	3.862240e+01	2309	fear	fear_2.png	
CEVR	   1	  11	  18	   0	1.770919e+02	 114	   0	3.307791e-01	3.766156e+01	2385	fear	fear_14.png	
CEVR	   1	  12	  18	   0	1.831115e+02	 140	   0	2.617748e-01	3.673823e+01	1353	fear	fear_16.png	
CEVR	   1	  13	  18	   0	1.911628e+02	  79	   0	4.476322e-01	3.520947e+01	3407	fear	fear_8.png	
CEVR	   1	  14	  18	   0	1.977128e+02	 165	   0	2.198269e-01	3.634052e+01	 409	fear	fear_1.png	
CEVR	   1	  15	  18	   0	2.051957e+02	 152	   0	2.475153e-01	3.774255e+01	1068	fear	fear_10.png	
CEVR	   1	  16	  18	   0	2.126241e+02	 108	   0	3.516155e-01	3.805485e+01	2617	fear	fear_20.png	
CEVR	   1	  17	  18	   0	2.188278e+02	 141	 141	2.594670e-01	3.648107e+01	1309	fear	fear_18.png	
CEVR	   1	  18	  18	   0	2.255304e+02	 139	   0	2.701857e-01	3.754037e+01	1507	fear	fear_5.png	
CEVR	   1	  19	  18	   0	2.325441e+02	 131	   0	2.834318e-01	  37	1731	fear	fear_7.png	
CEVR	   1	  20	  18	   0	2.396961e+02	 135	   0	2.666804e-01	3.593328e+01	1444	fear	fear_15.png	
CEVR	   1	  21	  18	   0	2.469547e+02	 102	   0	3.720195e-01	3.811606e+01	2819	fear	fear_5.png	
CEVR	   1	  22	  18	   0	2.527552e+02	 139	 139	2.595711e-01	3.596172e+01	1311	fear	fear_13.png	
CEVR	   1	  23	  18	   0	2.596634e+02	 139	 139	2.595711e-01	3.596172e+01	1311	fear	fear_10.png	
CEVR	   1	  24	  18	   0	2.662925e+02	 140	   0	2.625177e-01	3.673748e+01	1367	fear	fear_6.png	
CEVR	   1	  25	  18	   0	2.739250e+02	  97	   0	3.883058e-01	3.777661e+01	2965	fear	fear_16.png	
CEVR	   1	  26	  18	   0	2.806932e+02	 148	   0	2.427366e-01	3.602905e+01	 965	fear	fear_4.png	
CEVR	   1	  27	  18	   0	2.877740e+02	 117	 117	3.053525e-01	3.577859e+01	2059	fear	fear_12.png	
CEVR	   1	  28	  18	   0	2.949069e+02	 148	 148	2.427366e-01	3.602905e+01	 965	fear	fear_1.png	
CEVR	   1	  29	  18	   0	3.019131e+02	 134	 134	2.702985e-01	3.618910e+01	1509	fear	fear_20.png	
CEVR	   1	  30	  18	   0	3.090316e+02	 106	 106	3.410587e-01	3.631788e+01	2503	fear	fear_19.png	
CEVR	   1	  31	  18	   0	3.165931e+02	  91	  91	3.949375e-01	3.581519e+01	3021	fear	fear_2.png	
CEVR	   1	  32	  18	   0	3.238480e+02	  86	   0	4.490291e-01	3.879612e+01	3416	fear	fear_17.png	
CEVR	   1	  33	  18	   0	3.306670e+02	 149	 149	2.506290e-01	3.725063e+01	1133	fear	fear_14.png	
CEVR	   1	  34	  18	   0	3.365957e+02	 144	 144	2.517986e-01	3.624460e+01	1157	fear	fear_9.png	
