#Subj:	10385
#Run:	1
#Age:	25
#Gender:	female
#29-Jul-2013
Func	Run	Trial	Block	Null	trialStartTime	Mag	ScoreInc	Freq	EV	RT	Emotion	Image
CEV	1	1	12	0	1.553434e+02	48	48	8.100000e-01	3.862000e+01	630	scram	scram_16.png
CEV	1	2	12	0	1.615283e+02	45	45	8.580000e-01	3.871600e+01	294	scram	scram_8.png
CEV	1	3	12	0	1.679197e+02	45	45	8.624286e-01	3.872486e+01	263	scram	scram_15.png
CEV	1	4	12	0	1.732428e+02	46	46	8.425714e-01	3.868514e+01	402	scram	scram_12.png
CEV	1	5	12	0	1.803482e+02	48	48	7.375714e-01	3.552486e+01	1137	scram	scram_3.png
CEV	1	6	12	0	1.871798e+02	53	0	6.437143e-01	3.442514e+01	1794	scram	scram_2.png
CEV	1	7	12	0	1.943354e+02	73	73	5.227143e-01	3.804543e+01	2641	scram	scram_5.png
CEV	1	8	12	0	2.017698e+02	83	83	4.741429e-01	3.937071e+01	2981	scram	scram_18.png
CEV	1	9	12	0	2.088814e+02	81	81	4.492857e-01	3.655071e+01	3155	scram	scram_7.png
CEV	1	10	12	0	2.167293e+02	100	0	3.818571e-01	3.814557e+01	3627	scram	scram_21.png
CEV	1	11	12	0	2.249822e+02	80	0	4.432857e-01	3.567014e+01	3197	scram	scram_6.png
CEV	1	12	12	0	2.322900e+02	81	0	4.508571e-01	3.654914e+01	3144	scram	scram_19.png
CEV	1	13	12	0	2.397188e+02	80	0	4.742857e-01	3.794857e+01	2980	scram	scram_9.png
CEV	1	14	12	0	2.459448e+02	43	43	8.198571e-01	3.536029e+01	561	scram	scram_20.png
CEV	1	15	12	0	2.527309e+02	74	74	5.145714e-01	3.802914e+01	2698	scram	scram_17.png
CEV	1	16	12	0	2.602317e+02	71	0	4.902857e-01	3.503886e+01	2868	scram	scram_11.png
CEV	1	17	12	0	2.664527e+02	77	77	5.105714e-01	3.955286e+01	2726	scram	scram_14.png
CEV	1	18	12	0	2.728541e+02	74	74	5.097143e-01	3.750971e+01	2732	scram	scram_10.png
CEV	1	19	12	0	2.802609e+02	72	72	5.397143e-01	3.861914e+01	2522	scram	scram_13.png
CEV	1	20	12	0	2.883276e+02	71	0	5.208571e-01	37	2654	scram	scram_1.png
CEV	1	21	12	0	2.953834e+02	67	0	5.831429e-01	3.933257e+01	2218	scram	scram_4.png
CEV	1	22	12	0	3.014984e+02	45	45	8.217143e-01	37	548	scram	scram_12.png
CEV	1	23	12	0	3.078016e+02	45	45	7.477143e-01	3.400914e+01	1066	scram	scram_3.png
CEV	1	24	12	0	3.155857e+02	61	61	6.352857e-01	3.890586e+01	1853	scram	scram_2.png
CEV	1	25	12	0	3.229061e+02	65	65	5.931429e-01	3.877943e+01	2148	scram	scram_11.png
CEV	1	26	12	0	3.292306e+02	69	69	5.662857e-01	3.926514e+01	2336	scram	scram_9.png
CEV	1	27	12	0	3.360748e+02	67	67	5.294286e-01	3.541171e+01	2594	scram	scram_5.png
CEV	1	28	12	0	3.436857e+02	73	73	5.132857e-01	3.751329e+01	2707	scram	scram_21.png
CEV	1	29	12	0	3.507993e+02	76	0	4.795714e-01	3.652043e+01	2943	scram	scram_20.png
