#Subj:	10841
#Run:	1
#Age:	21
#Gender:	male
#02-May-2013
Func	Run	Trial	Block	Null	trialStartTime	Mag	ScoreInc	Freq	EV	RT	Emotion	Image
CEV	   1	   1	  12	   0	1.055942e+02	  54	   0	7.094286e-01	3.841886e+01	1334	scram	scram_16.png	
CEV	   1	   2	  12	   0	1.130888e+02	  81	  81	4.657143e-01	3.793143e+01	3040	scram	scram_8.png	
CEV	   1	   3	  12	   0	1.208128e+02	  80	  80	4.742857e-01	3.794857e+01	2980	scram	scram_15.png	
CEV	   1	   4	  12	   0	1.274732e+02	  82	  82	4.622857e-01	3.792457e+01	3064	scram	scram_12.png	
CEV	   1	   5	  12	   0	1.357555e+02	  91	  91	3.965714e-01	3.620686e+01	3524	scram	scram_3.png	
CEV	   1	   6	  12	   0	1.435568e+02	  97	   0	3.678571e-01	3.552857e+01	3725	scram	scram_2.png	
CEV	   1	   7	  12	   0	1.498980e+02	  51	  51	7.518571e-01	3.850371e+01	1037	scram	scram_5.png	
CEV	   1	   8	  12	   0	1.567855e+02	  64	  64	6.262857e-01	4.013143e+01	1916	scram	scram_18.png	
CEV	   1	   9	  12	   0	1.636361e+02	  70	  70	5.194286e-01	3.648057e+01	2664	scram	scram_7.png	
CEV	   1	  10	  12	   0	1.712271e+02	  84	   0	4.562857e-01	3.836886e+01	3106	scram	scram_21.png	
CEV	   1	  11	  12	   0	1.780847e+02	  41	  41	8.361429e-01	3.449157e+01	 447	scram	scram_6.png	
CEV	   1	  12	  12	   0	1.851727e+02	  72	   0	5.080000e-01	3.649200e+01	2744	scram	scram_19.png	
CEV	   1	  13	  12	   0	1.918624e+02	  56	   0	6.795714e-01	3.835914e+01	1543	scram	scram_9.png	
CEV	   1	  14	  12	   0	1.980847e+02	  43	  43	8.201429e-01	3.535971e+01	 559	scram	scram_20.png	
CEV	   1	  15	  12	   0	2.052748e+02	  95	  95	3.967143e-01	3.779343e+01	3523	scram	scram_17.png	
CEV	   1	  16	  12	   0	2.131156e+02	  93	   0	3.824286e-01	3.547029e+01	3623	scram	scram_11.png	
CEV	   1	  17	  12	   0	2.198361e+02	 109	 109	3.562857e-01	3.878143e+01	3806	scram	scram_14.png	
CEV	   1	  18	  12	   0	2.267981e+02	 107	 107	3.487143e-01	3.734871e+01	3859	scram	scram_10.png	
CEV	   1	  19	  12	   0	2.348765e+02	 111	 111	3.431429e-01	3.802943e+01	3898	scram	scram_13.png	
CEV	   1	  20	  12	   0	2.435059e+02	 103	   0	3.584286e-01	  37	3791	scram	scram_1.png	
CEV	   1	  21	  12	   0	2.500119e+02	  54	   0	7.398571e-01	3.995943e+01	1121	scram	scram_4.png	
CEV	   1	  22	  12	   0	2.568446e+02	  61	  61	6.101429e-01	  37	2029	scram	scram_12.png	
CEV	   1	  23	  12	   0	2.644599e+02	  98	  98	3.632857e-01	3.554686e+01	3757	scram	scram_3.png	
CEV	   1	  24	  12	   0	2.732056e+02	 107	 107	3.565714e-01	3.806971e+01	3804	scram	scram_2.png	
CEV	   1	  25	  12	   0	2.813185e+02	 104	 104	3.661429e-01	3.809843e+01	3737	scram	scram_11.png	
CEV	   1	  26	  12	   0	2.883036e+02	 104	 104	3.704286e-01	3.848171e+01	3707	scram	scram_9.png	
CEV	   1	  27	  12	   0	2.957178e+02	  99	  99	3.638571e-01	3.590843e+01	3753	scram	scram_5.png	
CEV	   1	  28	  12	   0	3.038282e+02	 103	   0	3.630000e-01	3.736300e+01	3759	scram	scram_21.png	
CEV	   1	  29	  12	   0	3.112823e+02	  96	   0	3.810000e-01	3.661900e+01	3633	scram	scram_20.png	
CEV	   1	  30	  12	   0	3.177657e+02	  44	  44	8.562857e-01	3.785629e+01	 306	scram	scram_19.png	
CEV	   1	  31	  12	   0	3.257565e+02	  97	  97	3.968571e-01	3.858743e+01	3522	scram	scram_10.png	
CEV	   1	  32	  12	   0	3.322615e+02	  69	   0	5.617143e-01	3.868514e+01	2368	scram	scram_8.png	
CEV	   1	  33	  12	   0	3.388980e+02	  88	   0	4.142857e-01	3.658571e+01	3400	scram	scram_6.png	
CEV	   1	  34	  12	   0	3.448817e+02	  48	  48	7.104286e-01	3.415829e+01	1327	scram	scram_14.png	
CEV	   1	  35	  12	   0	3.524058e+02	 103	   0	3.608571e-01	  37	3774	scram	scram_15.png	
CEV	   1	  36	  12	   0	3.591439e+02	  74	  74	5.262857e-01	3.910514e+01	2616	scram	scram_7.png	
CEV	   1	  37	  12	   0	3.667276e+02	  82	   0	4.580000e-01	3.745800e+01	3094	scram	scram_4.png	
CEV	   1	  38	  12	   0	3.741063e+02	  63	  63	5.455714e-01	3.427214e+01	2481	scram	scram_18.png	
CEV	   1	  39	  12	   0	3.803171e+02	  70	   0	5.077143e-01	3.547686e+01	2746	scram	scram_16.png	
CEV	   1	  40	  12	   0	3.882100e+02	  66	  66	5.404286e-01	3.591914e+01	2517	scram	scram_13.png	
CEV	   1	  41	  12	   0	3.943709e+02	  40	  40	8.648571e-01	3.440543e+01	 246	scram	scram_1.png	
CEV	   1	  42	  12	   0	4.006832e+02	  49	  49	7.322857e-01	3.553543e+01	1174	scram	scram_17.png	
DEV	   1	  43	  11	   0	4.793406e+02	  79	   0	5.422688e-01	4.288484e+01	1527	fear	fear_7.png	
DEV	   1	  44	  11	   0	4.867648e+02	  84	  84	3.137169e-01	2.622475e+01	3570	fear	fear_13.png	
DEV	   1	  45	  11	   0	4.946830e+02	  81	   0	2.993483e-01	2.425389e+01	3757	fear	fear_18.png	
DEV	   1	  46	  11	   0	5.014770e+02	  80	   0	3.331019e-01	2.664494e+01	3320	fear	fear_16.png	
DEV	   1	  47	  11	   0	5.082505e+02	  80	   0	4.319639e-01	3.455717e+01	2281	fear	fear_11.png	
DEV	   1	  48	  11	   0	5.142618e+02	  66	  66	8.009940e-01	5.259346e+01	 360	fear	fear_6.png	
