#Subj:	10910
#Run:	1
#Age:	18
#Gender:	female
#20-Mar-2013
Func	Run	Trial	Block	Null	trialStartTime	Mag	ScoreInc	Freq	EV	RT	Emotion	Image
CEV	   1	   1	   1	   0	1.224002e+02	  52	   0	7.342857e-01	3.846857e+01	1160	fear	fear_10.png	
CEV	   1	   2	   1	   0	1.300467e+02	  79	  79	4.801429e-01	3.796029e+01	2939	fear	fear_4.png	
CEV	   1	   3	   1	   0	1.366599e+02	  75	  75	5.054286e-01	3.801086e+01	2762	fear	fear_8.png	
CEV	   1	   4	   1	   0	1.440281e+02	  74	  74	5.134286e-01	3.802686e+01	2706	fear	fear_21.png	
CEV	   1	   5	   1	   0	1.516428e+02	  68	  68	5.288571e-01	3.594229e+01	2598	fear	fear_1.png	
CEV	   1	   6	   1	   0	1.586028e+02	  72	   0	4.875714e-01	3.504971e+01	2887	fear	fear_6.png	
CEV	   1	   7	   1	   0	1.650296e+02	  66	  66	5.824286e-01	3.816486e+01	2223	fear	fear_9.png	
CEV	   1	   8	   1	   0	1.711829e+02	  51	  51	8.034286e-01	4.101714e+01	 676	fear	fear_11.png	
CEV	   1	   9	   1	   0	1.770606e+02	  49	  49	7.391429e-01	3.626086e+01	1126	fear	fear_12.png	
CEV	   1	  10	   1	   0	1.830599e+02	  56	   0	7.045714e-01	3.911371e+01	1368	fear	fear_17.png	
CEV	   1	  11	   1	   0	1.897317e+02	  65	  65	5.410000e-01	3.537700e+01	2513	fear	fear_15.png	
CEV	   1	  12	   1	   0	1.967544e+02	  73	   0	4.980000e-01	3.650200e+01	2814	fear	fear_14.png	
CEV	   1	  13	   1	   0	2.038864e+02	  69	   0	5.525714e-01	3.810514e+01	2432	fear	fear_5.png	
CEV	   1	  14	   1	   0	2.100536e+02	  57	   0	6.282857e-01	3.574343e+01	1902	fear	fear_7.png	
CEV	   1	  15	   1	   0	2.174953e+02	  87	  87	4.357143e-01	3.787143e+01	3250	fear	fear_16.png	
CEV	   1	  16	   1	   0	2.252324e+02	  80	   0	4.384286e-01	3.524629e+01	3231	fear	fear_18.png	
CEV	   1	  17	   1	   0	2.320280e+02	  99	  99	3.918571e-01	3.895929e+01	3557	fear	fear_13.png	
CEV	   1	  18	   1	   0	2.396551e+02	  98	  98	3.831429e-01	3.738314e+01	3618	fear	fear_20.png	
CEV	   1	  19	   1	   0	2.475831e+02	 100	 100	3.825714e-01	3.814771e+01	3622	fear	fear_19.png	
CEV	   1	  20	   1	   0	2.548275e+02	  98	   0	3.778571e-01	  37	3655	fear	fear_3.png	
CEV	   1	  21	   1	   0	2.630317e+02	  99	   0	3.897143e-01	3.855886e+01	3572	fear	fear_2.png	
CEV	   1	  22	   1	   0	2.708013e+02	  68	  68	5.422857e-01	  37	2504	fear	fear_3.png	
CEV	   1	  23	   1	   0	2.784541e+02	  67	  67	5.185714e-01	3.492571e+01	2670	fear	fear_12.png	
CEV	   1	  24	   1	   0	2.862771e+02	  63	  63	6.128571e-01	3.883857e+01	2010	fear	fear_15.png	
CEV	   1	  25	   1	   0	2.926438e+02	  71	  71	5.434286e-01	3.863029e+01	2496	fear	fear_18.png	
CEV	   1	  26	   1	   0	2.998142e+02	  80	  80	4.854286e-01	3.894171e+01	2902	fear	fear_20.png	
CEV	   1	  27	   1	   0	3.069516e+02	  82	  82	4.374286e-01	3.568771e+01	3238	fear	fear_14.png	
CEV	   1	  28	   1	   0	3.142715e+02	  90	   0	4.140000e-01	3.741400e+01	3402	fear	fear_1.png	
CEV	   1	  29	   1	   0	3.213849e+02	  82	   0	4.444286e-01	3.655557e+01	3189	fear	fear_7.png	
CEV	   1	  30	   1	   0	3.282684e+02	  74	   0	5.101429e-01	3.751014e+01	2729	fear	fear_13.png	
CEV	   1	  31	   1	   0	3.354454e+02	  69	  69	5.692857e-01	3.927714e+01	2315	fear	fear_6.png	
CEV	   1	  32	   1	   0	3.422155e+02	  65	   0	6.000000e-01	3.880000e+01	2100	fear	fear_19.png	
CEV	   1	  33	   1	   0	3.483446e+02	  66	   0	5.544286e-01	3.644557e+01	2419	fear	fear_10.png	
CEV	   1	  34	   1	   0	3.545082e+02	  42	  42	8.020000e-01	3.379200e+01	 686	fear	fear_2.png	
CEV	   1	  35	   1	   0	3.608023e+02	  50	   0	7.367143e-01	  37	1143	fear	fear_16.png	
CEV	   1	  36	   1	   0	3.674501e+02	  57	  57	6.922857e-01	3.976914e+01	1454	fear	fear_17.png	
CEV	   1	  37	   1	   0	3.739276e+02	  55	  55	6.837143e-01	3.768371e+01	1514	fear	fear_9.png	
CEV	   1	  38	   1	   0	3.811951e+02	  51	  51	6.582857e-01	3.370857e+01	1692	fear	fear_4.png	
CEV	   1	  39	   1	   0	3.880889e+02	  56	   0	6.221429e-01	3.513357e+01	1945	fear	fear_21.png	
CEV	   1	  40	   1	   0	3.947068e+02	  53	  53	6.728571e-01	3.565429e+01	1590	fear	fear_8.png	
CEV	   1	  41	   1	   0	4.017656e+02	  47	  47	7.465714e-01	3.476029e+01	1074	fear	fear_11.png	
CEV	   1	  42	   1	   0	4.090417e+02	  48	  48	7.418571e-01	3.551629e+01	1107	fear	fear_5.png	
DEV	   1	  43	   2	   0	4.856686e+02	  79	   0	5.634947e-01	4.425670e+01	1409	happy	happy_2.png	
DEV	   1	  44	   2	   0	4.929606e+02	  81	  81	3.829670e-01	3.118476e+01	2739	happy	happy_5.png	
DEV	   1	  45	   2	   0	5.003152e+02	  79	   0	3.538953e-01	2.807536e+01	3064	happy	happy_9.png	
DEV	   1	  46	   2	   0	5.077972e+02	  78	   0	3.848874e-01	3.016403e+01	2719	happy	happy_1.png	
DEV	   1	  47	   2	   0	5.148468e+02	  81	   0	4.121288e-01	3.320285e+01	2454	happy	happy_11.png	
DEV	   1	  48	   2	   0	5.211081e+02	  71	  71	6.293299e-01	4.457344e+01	1077	happy	happy_13.png	
DEV	   1	  49	   2	   0	5.272498e+02	  71	   0	6.378695e-01	4.503304e+01	1037	happy	happy_17.png	
DEV	   1	  50	   2	   0	5.337809e+02	  77	   0	3.756378e-01	2.879401e+01	2817	happy	happy_8.png	
DEV	   1	  51	   2	   0	5.394783e+02	  79	   0	5.754826e-01	4.559637e+01	1345	happy	happy_21.png	
