#Subj:	10918
#Run:	1
#Age:	23
#Gender:	male
#22-May-2013
Func	Run	Trial	Block	Null	trialStartTime	Mag	ScoreInc	Freq	EV	RT	Emotion	Image
CEV	1	1	1	0	7.560253e+01	53	0	7.214286e-01	3.844286e+01	1250	fear	fear_10.png
CEV	1	2	1	0	8.279844e+01	62	62	6.145714e-01	3.822914e+01	1998	fear	fear_4.png
CEV	1	3	1	0	8.874205e+01	55	55	6.962857e-01	3.839257e+01	1426	fear	fear_8.png
CEV	1	4	1	0	9.598508e+01	69	69	5.490000e-01	3.809800e+01	2457	fear	fear_21.png
CEV	1	5	1	0	1.039059e+02	82	82	4.411429e-01	3.611771e+01	3212	fear	fear_1.png
CEV	1	6	1	0	1.113234e+02	100	0	3.562857e-01	3.557486e+01	3806	fear	fear_6.png
CEV	1	7	1	0	1.183619e+02	93	93	4.075714e-01	3.781514e+01	3447	fear	fear_9.png
CEV	1	8	1	0	1.258606e+02	93	93	4.190000e-01	3.909500e+01	3367	fear	fear_11.png
CEV	1	9	1	0	1.330042e+02	97	0	3.775714e-01	3.662243e+01	3657	fear	fear_12.png
CEV	1	10	1	0	1.397726e+02	79	0	4.848571e-01	3.845457e+01	2906	fear	fear_17.png
CEV	1	11	1	0	1.462678e+02	60	60	5.917143e-01	3.522486e+01	2158	fear	fear_15.png
CEV	1	12	1	0	1.525061e+02	50	50	7.222857e-01	3.627771e+01	1244	fear	fear_14.png
CEV	1	13	1	0	1.601571e+02	94	0	4.042857e-01	3.780857e+01	3470	fear	fear_5.png
CEV	1	14	1	0	1.669131e+02	78	0	4.601429e-01	3.607971e+01	3079	fear	fear_7.png
CEV	1	15	1	0	1.741040e+02	75	75	5.072857e-01	3.801457e+01	2749	fear	fear_16.png
CEV	1	16	1	0	1.817875e+02	77	0	4.565714e-01	3.517371e+01	3104	fear	fear_18.png
CEV	1	17	1	0	1.885326e+02	96	96	4.062857e-01	3.903143e+01	3456	fear	fear_13.png
CEV	1	18	1	0	1.952322e+02	58	58	6.485714e-01	3.764857e+01	1760	fear	fear_20.png
CEV	1	19	1	0	2.024358e+02	66	66	5.897143e-01	3.876914e+01	2172	fear	fear_19.png
CEV	1	20	1	0	2.083542e+02	49	49	7.570000e-01	37	1001	fear	fear_3.png
CEV	1	21	1	0	2.149059e+02	47	0	8.618571e-01	4.044743e+01	267	fear	fear_2.png
