#Subj:	10959
#Run:	1
#Age:	24
#Gender:	male
#04-Jun-2013
Func	Run	Trial	Block	Null	trialStartTime	Mag	ScoreInc	Freq	EV	RT	Emotion	Image
CEV	   1	   1	  12	   0	1.056105e+02	  78	   0	4.850000e-01	3.797000e+01	2905	scram	scram_16.png	
CEV	   1	   2	  12	   0	1.118205e+02	  46	  46	8.477143e-01	3.869543e+01	 366	scram	scram_8.png	
CEV	   1	   3	  12	   0	1.182167e+02	  45	  45	8.528571e-01	3.870571e+01	 330	scram	scram_15.png	
CEV	   1	   4	  12	   0	1.237555e+02	  49	  49	7.792857e-01	3.855857e+01	 845	scram	scram_12.png	
CEV	   1	   5	  12	   0	1.307457e+02	  46	  46	7.645714e-01	3.547086e+01	 948	scram	scram_3.png	
CEV	   1	   6	  12	   0	1.373862e+02	  49	   0	6.928571e-01	3.422857e+01	1450	scram	scram_2.png	
CEV	   1	   7	  12	   0	1.436580e+02	  50	  50	7.695714e-01	3.853914e+01	 913	scram	scram_5.png	
CEV	   1	   8	  12	   0	1.500224e+02	  53	  53	7.718571e-01	4.085929e+01	 897	scram	scram_18.png	
CEV	   1	   9	  12	   0	1.560013e+02	  47	  47	7.708571e-01	3.622914e+01	 904	scram	scram_7.png	
CEV	   1	  10	  12	   0	1.635626e+02	  84	   0	4.585714e-01	3.837571e+01	3090	scram	scram_21.png	
CEV	   1	  11	  12	   0	1.711533e+02	  57	  57	6.214286e-01	3.513571e+01	1950	scram	scram_6.png	
CEV	   1	  12	  12	   0	1.779104e+02	  60	   0	6.054286e-01	3.639457e+01	2062	scram	scram_19.png	
CEV	   1	  13	  12	   0	1.842914e+02	  50	  50	7.672857e-01	3.853457e+01	 929	scram	scram_9.png	
CEV	   1	  14	  12	   0	1.906656e+02	  46	  46	7.692857e-01	3.546143e+01	 915	scram	scram_20.png	
CEV	   1	  15	  12	   0	1.979974e+02	 107	 107	3.528571e-01	3.770571e+01	3830	scram	scram_17.png	
CEV	   1	  16	  12	   0	2.059058e+02	  97	   0	3.665714e-01	3.553371e+01	3734	scram	scram_11.png	
CEV	   1	  17	  12	   0	2.126609e+02	 112	 112	3.462857e-01	3.873143e+01	3876	scram	scram_14.png	
CEV	   1	  18	  12	   0	2.195933e+02	 106	 106	3.534286e-01	3.735343e+01	3826	scram	scram_10.png	
CEV	   1	  19	  12	   0	2.276147e+02	 107	 107	3.562857e-01	3.806886e+01	3806	scram	scram_13.png	
CEV	   1	  20	  12	   0	2.362487e+02	 105	   0	3.525714e-01	  37	3832	scram	scram_1.png	
CEV	   1	  21	  12	   0	2.441154e+02	 112	   0	3.431429e-01	3.837257e+01	3898	scram	scram_4.png	
CEV	   1	  22	  12	   0	2.502111e+02	  45	  45	8.207143e-01	  37	 555	scram	scram_12.png	
CEV	   1	  23	  12	   0	2.579636e+02	 109	 109	3.285714e-01	3.568571e+01	4000	scram	scram_3.png	
CEV	   1	  24	  12	   0	2.667780e+02	 114	 114	3.318571e-01	3.799557e+01	3977	scram	scram_2.png	
CEV	   1	  25	  12	   0	2.749531e+02	 111	 111	3.411429e-01	3.802343e+01	3912	scram	scram_11.png	
CEV	   1	  26	  12	   0	2.820732e+02	 116	   0	3.308571e-01	3.832343e+01	3984	scram	scram_9.png	
CEV	   1	  27	  12	   0	2.895828e+02	 108	 108	3.325714e-01	3.600229e+01	3972	scram	scram_5.png	
CEV	   1	  28	  12	   0	2.977826e+02	 112	   0	3.342857e-01	3.733429e+01	3960	scram	scram_21.png	
CEV	   1	  29	  12	   0	3.052535e+02	  99	   0	3.711429e-01	3.662886e+01	3702	scram	scram_20.png	
CEV	   1	  30	  12	   0	3.120310e+02	  49	  49	7.692857e-01	3.776929e+01	 915	scram	scram_19.png	
CEV	   1	  31	  12	   0	3.187138e+02	  52	  52	7.681429e-01	4.007257e+01	 923	scram	scram_10.png	
CEV	   1	  32	  12	   0	3.251843e+02	  68	   0	5.714286e-01	3.871429e+01	2300	scram	scram_8.png	
CEV	   1	  33	  12	   0	3.320444e+02	 106	   0	3.460000e-01	3.665400e+01	3878	scram	scram_6.png	
CEV	   1	  34	  12	   0	3.389269e+02	  78	  78	4.537143e-01	3.518514e+01	3124	scram	scram_14.png	
CEV	   1	  35	  12	   0	3.460377e+02	  78	   0	4.755714e-01	  37	2971	scram	scram_15.png	
CEV	   1	  36	  12	   0	3.518971e+02	  52	  52	7.750000e-01	4.010000e+01	 875	scram	scram_7.png	
CEV	   1	  37	  12	   0	3.583889e+02	  49	  49	7.655714e-01	3.776557e+01	 941	scram	scram_4.png	
CEV	   1	  38	  12	   0	3.661269e+02	  79	  79	4.382857e-01	3.480857e+01	3232	scram	scram_18.png	
CEV	   1	  39	  12	   0	3.725007e+02	  78	   0	4.565714e-01	3.563029e+01	3104	scram	scram_16.png	
CEV	   1	  40	  12	   0	3.808192e+02	  87	   0	4.154286e-01	3.616914e+01	3392	scram	scram_13.png	
CEV	   1	  41	  12	   0	3.873267e+02	  46	  46	7.612857e-01	3.471614e+01	 971	scram	scram_1.png	
CEV	   1	  42	  12	   0	3.935059e+02	  46	  46	7.695714e-01	3.546086e+01	 913	scram	scram_17.png	
DEV	   1	  43	  11	   0	4.654114e+02	  77	   0	6.335835e-01	4.860449e+01	1057	fear	fear_7.png	
DEV	   1	  44	  11	   0	4.713132e+02	  71	  71	7.501029e-01	5.353097e+01	 557	fear	fear_13.png	
DEV	   1	  45	  11	   0	4.783279e+02	  76	   0	4.705990e-01	3.574054e+01	1983	fear	fear_18.png	
DEV	   1	  46	  11	   0	4.841834e+02	  74	   0	5.532800e-01	4.083304e+01	1465	fear	fear_16.png	
DEV	   1	  47	  11	   0	4.917035e+02	  84	   0	2.964875e-01	2.493608e+01	3794	fear	fear_11.png	
DEV	   1	  48	  11	   0	4.980389e+02	  71	  71	6.408889e-01	4.519434e+01	1023	fear	fear_6.png	
DEV	   1	  49	  11	   0	5.047872e+02	  78	   0	3.550763e-01	2.780074e+01	3050	fear	fear_17.png	
DEV	   1	  50	  11	   0	5.116793e+02	  76	   0	4.033201e-01	3.058011e+01	2536	fear	fear_9.png	
DEV	   1	  51	  11	   0	5.172158e+02	  76	   0	6.852630e-01	5.228385e+01	 825	fear	fear_10.png	
DEV	   1	  52	  11	   0	5.232172e+02	  66	  66	8.025836e-01	5.265227e+01	 354	fear	fear_21.png	
DEV	   1	  53	  11	   0	5.299029e+02	  67	  67	8.113662e-01	5.459308e+01	 321	fear	fear_12.png	
DEV	   1	  54	  11	   0	5.361063e+02	  69	   0	8.020535e-01	5.503886e+01	 356	fear	fear_15.png	
DEV	   1	  55	  11	   0	5.434315e+02	  76	  76	4.682306e-01	3.559024e+01	2000	fear	fear_2.png	
DEV	   1	  56	  11	   0	5.500559e+02	  75	  75	4.683694e-01	3.513068e+01	1999	fear	fear_8.png	
DEV	   1	  57	  11	   0	5.568553e+02	  84	   0	4.483407e-01	3.745762e+01	2149	fear	fear_1.png	
DEV	   1	  58	  11	   0	5.640833e+02	  79	  79	4.675380e-01	3.694886e+01	2005	fear	fear_4.png	
DEV	   1	  59	  11	   0	5.708024e+02	  83	   0	4.701795e-01	3.900519e+01	1986	fear	fear_20.png	
DEV	   1	  60	  11	   0	5.780013e+02	  78	   0	4.771124e-01	3.710692e+01	1937	fear	fear_3.png	
DEV	   1	  61	  11	   0	5.838236e+02	  73	  73	6.476307e-01	4.749508e+01	 992	fear	fear_14.png	
DEV	   1	  62	  11	   0	5.899847e+02	  72	  72	6.374394e-01	4.564745e+01	1039	fear	fear_19.png	
DEV	   1	  63	  11	   0	5.974392e+02	  76	  76	4.605742e-01	3.510283e+01	2056	fear	fear_5.png	
DEV	   1	  64	  11	   0	6.040694e+02	  78	  78	4.673996e-01	3.647225e+01	2006	fear	fear_3.png	
DEV	   1	  65	  11	   0	6.110378e+02	  83	   0	4.572273e-01	3.808962e+01	2081	fear	fear_1.png	
DEV	   1	  66	  11	   0	6.182420e+02	  74	  74	6.560000e-01	4.861584e+01	 954	fear	fear_19.png	
DEV	   1	  67	  11	   0	6.256722e+02	  77	   0	4.696213e-01	3.614814e+01	1990	fear	fear_7.png	
DEV	   1	  68	  11	   0	6.330959e+02	  78	  78	4.693426e-01	3.659952e+01	1992	fear	fear_9.png	
DEV	   1	  69	  11	   0	6.395359e+02	  78	  78	6.404565e-01	4.965448e+01	1025	fear	fear_16.png	
DEV	   1	  70	  11	   0	6.471610e+02	  76	  76	4.689250e-01	3.563433e+01	1995	fear	fear_4.png	
DEV	   1	  71	  11	   0	6.529770e+02	  75	  75	4.717207e-01	3.533992e+01	1975	fear	fear_10.png	
DEV	   1	  72	  11	   0	6.585303e+02	  79	   0	6.352940e-01	4.997731e+01	1049	fear	fear_21.png	
DEV	   1	  73	  11	   0	6.646428e+02	  75	  75	6.531238e-01	4.910695e+01	 967	fear	fear_17.png	
DEV	   1	  74	  11	   0	6.710949e+02	  76	  76	4.619252e-01	3.518900e+01	2046	fear	fear_5.png	
DEV	   1	  75	  11	   0	6.784425e+02	  82	  82	4.631471e-01	3.804576e+01	2037	fear	fear_6.png	
DEV	   1	  76	  11	   0	6.863798e+02	  74	  74	4.660204e-01	3.451774e+01	2016	fear	fear_12.png	
DEV	   1	  77	  11	   0	6.929969e+02	  83	   0	3.614128e-01	3.003189e+01	2976	fear	fear_20.png	
DEV	   1	  78	  11	   0	6.998573e+02	  80	  80	4.597670e-01	3.689037e+01	2062	fear	fear_8.png	
DEV	   1	  79	  11	   0	7.072154e+02	  79	  79	4.604395e-01	3.647555e+01	2057	fear	fear_11.png	
DEV	   1	  80	  11	   0	7.127788e+02	  77	  77	6.316654e-01	4.848962e+01	1066	fear	fear_18.png	
DEV	   1	  81	  11	   0	7.197150e+02	  81	  81	4.664334e-01	3.780821e+01	2013	fear	fear_2.png	
DEV	   1	  82	  11	   0	7.266520e+02	  78	   0	4.665712e-01	3.641795e+01	2012	fear	fear_13.png	
DEV	   1	  83	  11	   0	7.325342e+02	  78	  78	6.272153e-01	4.884937e+01	1087	fear	fear_14.png	
DEV	   1	  84	  11	   0	7.390466e+02	  78	   0	6.595583e-01	5.145367e+01	 938	fear	fear_15.png	
IEV	   1	  85	  10	   0	8.090929e+02	  25	  25	8.593953e-01	2.147578e+01	1124	happy	happy_19.png	
IEV	   1	  86	  10	   0	8.158275e+02	  40	  40	7.626837e-01	3.055914e+01	1984	happy	happy_18.png	
IEV	   1	  87	  10	   0	8.225449e+02	  74	  74	5.892959e-01	4.332509e+01	2971	happy	happy_12.png	
IEV	   1	  88	  10	   0	8.308837e+02	  78	   0	5.809186e-01	4.554086e+01	3013	happy	happy_14.png	
IEV	   1	  89	  10	   0	8.374731e+02	  40	  40	7.725751e-01	3.124278e+01	1915	happy	happy_17.png	
IEV	   1	  90	  10	   0	8.447838e+02	 140	   0	3.855039e-01	5.386070e+01	3958	happy	happy_5.png	
IEV	   1	  91	  10	   0	8.520172e+02	  74	   0	5.829181e-01	4.310303e+01	3003	happy	happy_8.png	
IEV	   1	  92	  10	   0	8.589447e+02	  45	  45	7.616610e-01	3.445512e+01	1991	happy	happy_13.png	
IEV	   1	  93	  10	   0	8.663702e+02	  53	  53	6.985701e-01	3.702360e+01	2386	happy	happy_6.png	
IEV	   1	  94	  10	   0	8.732887e+02	  33	  33	7.920767e-01	2.633675e+01	1771	happy	happy_15.png	
IEV	   1	  95	  10	   0	8.800653e+02	  35	  35	8.025950e-01	2.771648e+01	1688	happy	happy_2.png	
IEV	   1	  96	  10	   0	8.872813e+02	  60	  60	6.706630e-01	4.028475e+01	2544	happy	happy_7.png	
IEV	   1	  97	  10	   0	8.944135e+02	  62	  62	6.287387e-01	3.909776e+01	2769	happy	happy_4.png	
IEV	   1	  98	  10	   0	9.018772e+02	  51	  51	6.854946e-01	3.519640e+01	2461	happy	happy_10.png	
IEV	   1	  99	  10	   0	9.087171e+02	  31	   0	8.145473e-01	2.490703e+01	1588	happy	happy_21.png	
IEV	   1	 100	  10	   0	9.158160e+02	  34	  34	7.973395e-01	2.742167e+01	1730	happy	happy_20.png	
IEV	   1	 101	  10	   0	9.233721e+02	  58	   0	6.884862e-01	3.979697e+01	2444	happy	happy_9.png	
IEV	   1	 102	  10	   0	9.301184e+02	  18	  18	8.883149e-01	1.632485e+01	 624	happy	happy_16.png	
IEV	   1	 103	  10	   0	9.371189e+02	  62	  62	6.357914e-01	3.927308e+01	2732	happy	happy_3.png	
IEV	   1	 104	  10	   0	9.440982e+02	  90	  90	5.243201e-01	4.731058e+01	3291	happy	happy_11.png	
