#Subj:	10997
#Run:	1
#Age:	15
#Gender:	female
#10-May-2013
Func	Run	Trial	Block	Null	trialStartTime	Mag	ScoreInc	Freq	EV	RT	Emotion	Image
CEV	1	1	12	0	9.179918e+01	51	0	7.548571e-01	3.850971e+01	1016	scram	scram_16.png
CEV	1	2	12	0	9.970029e+01	111	0	3.401429e-01	3.768029e+01	3919	scram	scram_8.png
CEV	1	3	12	0	1.061508e+02	46	46	8.374286e-01	3.867486e+01	438	scram	scram_15.png
CEV	1	4	12	0	1.116766e+02	49	49	7.827143e-01	3.856543e+01	821	scram	scram_12.png
CEV	1	5	12	0	1.184233e+02	42	42	8.337143e-01	3.533257e+01	464	scram	scram_3.png
CEV	1	6	12	0	1.245738e+02	40	40	8.327143e-01	3.366914e+01	471	scram	scram_2.png
CEV	1	7	12	0	1.305923e+02	46	46	8.418571e-01	3.868371e+01	407	scram	scram_5.png
CEV	1	8	12	0	1.366487e+02	48	48	8.615714e-01	4.130786e+01	269	scram	scram_18.png
CEV	1	9	12	0	1.424146e+02	44	44	8.285714e-01	3.617143e+01	500	scram	scram_7.png
CEV	1	10	12	0	1.485720e+02	46	46	8.624286e-01	3.958729e+01	263	scram	scram_21.png
CEV	1	11	12	0	1.553386e+02	40	40	8.570000e-01	3.442900e+01	301	scram	scram_6.png
CEV	1	12	12	0	1.613152e+02	44	44	8.257143e-01	3.617429e+01	520	scram	scram_19.png
CEV	1	13	12	0	1.673981e+02	45	45	8.527143e-01	3.870543e+01	331	scram	scram_9.png
CEV	1	14	12	0	1.735646e+02	43	43	8.288571e-01	3.534229e+01	498	scram	scram_20.png
CEV	1	15	12	0	1.791493e+02	45	45	8.520000e-01	3.870400e+01	336	scram	scram_17.png
CEV	1	16	12	0	1.853914e+02	40	40	8.358571e-01	3.365657e+01	449	scram	scram_11.png
CEV	1	17	12	0	1.903709e+02	48	48	8.535714e-01	4.126786e+01	325	scram	scram_14.png
CEV	1	18	12	0	1.955403e+02	44	44	8.565714e-01	3.785657e+01	304	scram	scram_10.png
CEV	1	19	12	0	2.018238e+02	46	46	8.550000e-01	3.956500e+01	315	scram	scram_13.png
CEV	1	20	12	0	2.086860e+02	43	43	8.587143e-01	37	289	scram	scram_1.png
CEV	1	21	12	0	2.147891e+02	48	0	8.471429e-01	4.038857e+01	370	scram	scram_4.png
CEV	1	22	12	0	2.209500e+02	46	46	8.021429e-01	37	685	scram	scram_12.png
CEV	1	23	12	0	2.268045e+02	39	39	8.612857e-01	3.355486e+01	271	scram	scram_3.png
CEV	1	24	12	0	2.337927e+02	46	46	8.565714e-01	3.956971e+01	304	scram	scram_2.png
CEV	1	25	12	0	2.419489e+02	110	110	3.465714e-01	3.803971e+01	3874	scram	scram_11.png
CEV	1	26	12	0	2.490109e+02	111	0	3.448571e-01	3.837943e+01	3886	scram	scram_9.png
CEV	1	27	12	0	2.547870e+02	42	42	8.267143e-01	3.451986e+01	513	scram	scram_5.png
CEV	1	28	12	0	2.630508e+02	114	0	3.271429e-01	3.732714e+01	4010	scram	scram_21.png
CEV	1	29	12	0	2.706075e+02	106	0	3.468571e-01	3.665314e+01	3872	scram	scram_20.png
CEV	1	30	12	0	2.788277e+02	105	0	3.572857e-01	3.735729e+01	3799	scram	scram_19.png
CEV	1	31	12	0	2.852420e+02	48	48	8.447143e-01	4.037886e+01	387	scram	scram_10.png
CEV	1	32	12	0	2.907742e+02	47	47	8.397143e-01	3.951914e+01	422	scram	scram_8.png
CEV	1	33	12	0	2.959420e+02	44	44	8.301429e-01	3.616986e+01	489	scram	scram_6.png
CEV	1	34	12	0	3.014501e+02	40	40	8.470000e-01	3.361200e+01	371	scram	scram_14.png
CEV	1	35	12	0	3.072779e+02	44	44	8.410000e-01	37	413	scram	scram_15.png
CEV	1	36	12	0	3.129168e+02	48	48	8.378571e-01	4.035143e+01	435	scram	scram_7.png
CEV	1	37	12	0	3.192860e+02	47	47	8.057143e-01	3.780571e+01	660	scram	scram_4.png
CEV	1	38	12	0	3.263274e+02	53	53	6.372857e-01	3.381357e+01	1839	scram	scram_18.png
CEV	1	39	12	0	3.326967e+02	78	0	4.580000e-01	3.562600e+01	3094	scram	scram_16.png
CEV	1	40	12	0	3.403453e+02	59	59	6.087143e-01	3.578257e+01	2039	scram	scram_13.png
CEV	1	41	12	0	3.483171e+02	105	0	3.430000e-01	3.597100e+01	3899	scram	scram_1.png
CEV	1	42	12	0	3.550130e+02	57	0	6.220000e-01	3.575600e+01	1946	scram	scram_17.png
DEV	1	43	11	0	4.275759e+02	74	0	7.423348e-01	5.464212e+01	588	fear	fear_7.png
