#Subj:	11027
#Run:	1
#Age:	15
#Gender:	male
#16-Apr-2013
Func	Run	Trial	Block	Null	trialStartTime	Mag	ScoreInc	Freq	EV	RT	Emotion	Image
CEV	   1	   1	  12	   0	1.906918e+02	  53	   0	7.190000e-01	3.843800e+01	1267	scram	scram_16.png	
CEV	   1	   2	  12	   0	1.974414e+02	  57	  57	6.781429e-01	3.835629e+01	1553	scram	scram_8.png	
CEV	   1	   3	  12	   0	2.045373e+02	  58	  58	6.558571e-01	3.831171e+01	1709	scram	scram_15.png	
CEV	   1	   4	  12	   0	2.104986e+02	  58	  58	6.584286e-01	3.831686e+01	1691	scram	scram_12.png	
CEV	   1	   5	  12	   0	2.179607e+02	  56	  56	6.361429e-01	3.572771e+01	1847	scram	scram_3.png	
CEV	   1	   6	  12	   0	2.249349e+02	  58	   0	5.995714e-01	3.460171e+01	2103	scram	scram_2.png	
CEV	   1	   7	  12	   0	2.313232e+02	  52	  52	7.362857e-01	3.847257e+01	1146	scram	scram_5.png	
CEV	   1	   8	  12	   0	2.379441e+02	  58	  58	6.982857e-01	4.049143e+01	1412	scram	scram_18.png	
CEV	   1	   9	  12	   0	2.449045e+02	  74	  74	4.925714e-01	3.650743e+01	2852	scram	scram_7.png	
CEV	   1	  10	  12	   0	2.525165e+02	  86	   0	4.438571e-01	3.833157e+01	3193	scram	scram_21.png	
CEV	   1	  11	  12	   0	2.604432e+02	  67	  67	5.255714e-01	3.542329e+01	2621	scram	scram_6.png	
CEV	   1	  12	  12	   0	2.676703e+02	  78	   0	4.685714e-01	3.653143e+01	3020	scram	scram_19.png	
CEV	   1	  13	  12	   0	2.747778e+02	  68	   0	5.622857e-01	3.812457e+01	2364	scram	scram_9.png	
CEV	   1	  14	  12	   0	2.820875e+02	  72	   0	5.030000e-01	3.599400e+01	2779	scram	scram_20.png	
CEV	   1	  15	  12	   0	2.882301e+02	  55	  55	6.987143e-01	3.839743e+01	1409	scram	scram_17.png	
CEV	   1	  16	  12	   0	2.956212e+02	  68	  68	5.127143e-01	3.494914e+01	2711	scram	scram_11.png	
CEV	   1	  17	  12	   0	3.018089e+02	  78	  78	5.084286e-01	3.954214e+01	2741	scram	scram_14.png	
CEV	   1	  18	  12	   0	3.082002e+02	  73	  73	5.127143e-01	3.751271e+01	2711	scram	scram_10.png	
CEV	   1	  19	  12	   0	3.157925e+02	  79	  79	4.840000e-01	3.845200e+01	2912	scram	scram_13.png	
CEV	   1	  20	  12	   0	3.242617e+02	  93	   0	3.997143e-01	  37	3502	scram	scram_1.png	
CEV	   1	  21	  12	   0	3.315681e+02	  78	   0	5.032857e-01	3.901314e+01	2777	scram	scram_4.png	
CEV	   1	  22	  12	   0	3.388000e+02	  75	  75	4.960000e-01	  37	2828	scram	scram_12.png	
CEV	   1	  23	  12	   0	3.459274e+02	  70	  70	4.974286e-01	3.501029e+01	2818	scram	scram_3.png	
CEV	   1	  24	  12	   0	3.541496e+02	  77	  77	4.991429e-01	3.849743e+01	2806	scram	scram_2.png	
CEV	   1	  25	  12	   0	3.605041e+02	  46	  46	8.632857e-01	3.958986e+01	 257	scram	scram_11.png	
