#Subj:	11040
#Run:	1
#Age:	15
#Gender:	female
#06-May-2013
Func	Run	Trial	Block	Null	trialStartTime	Mag	ScoreInc	Freq	EV	RT	Emotion	Image
CEV	   1	   1	   1	   0	1.843257e+02	  83	   0	4.561429e-01	3.791229e+01	3107	fear	fear_10.png	
CEV	   1	   2	   1	   0	1.909904e+02	  51	  51	7.508571e-01	3.850171e+01	1044	fear	fear_4.png	
CEV	   1	   3	   1	   0	1.970209e+02	  57	  57	6.780000e-01	3.835600e+01	1554	fear	fear_8.png	
CEV	   1	   4	   1	   0	2.041784e+02	  66	  66	5.737143e-01	3.814743e+01	2284	fear	fear_21.png	
CEV	   1	   5	   1	   0	2.118003e+02	  68	  68	5.270000e-01	3.594600e+01	2611	fear	fear_1.png	
CEV	   1	   6	   1	   0	2.183472e+02	  57	   0	6.052857e-01	3.457886e+01	2063	fear	fear_6.png	
CEV	   1	   7	   1	   0	2.248390e+02	  68	  68	5.638571e-01	3.812771e+01	2353	fear	fear_9.png	
CEV	   1	   8	   1	   0	2.319157e+02	  74	  74	5.397143e-01	3.969857e+01	2522	fear	fear_11.png	
CEV	   1	   9	   1	   0	2.384634e+02	  66	  66	5.518571e-01	3.644814e+01	2437	fear	fear_12.png	
CEV	   1	  10	   1	   0	2.440030e+02	  47	  47	8.361429e-01	3.950843e+01	 447	fear	fear_17.png	
CEV	   1	  11	   1	   0	2.505958e+02	  63	  63	5.638571e-01	3.530843e+01	2353	fear	fear_15.png	
CEV	   1	  12	   1	   0	2.570409e+02	  55	  55	6.654286e-01	3.633457e+01	1642	fear	fear_14.png	
CEV	   1	  13	   1	   0	2.640513e+02	  65	   0	5.877143e-01	3.817543e+01	2186	fear	fear_5.png	
CEV	   1	  14	   1	   0	2.695120e+02	  42	  42	8.338571e-01	3.533229e+01	 463	fear	fear_7.png	
CEV	   1	  15	   1	   0	2.758813e+02	  52	  52	7.421429e-01	3.848429e+01	1105	fear	fear_16.png	
CEV	   1	  16	   1	   0	2.833372e+02	  67	  67	5.191429e-01	3.492343e+01	2666	fear	fear_18.png	
CEV	   1	  17	   1	   0	2.891254e+02	  59	  59	6.797143e-01	4.039857e+01	1542	fear	fear_13.png	
CEV	   1	  18	   1	   0	2.956281e+02	  54	  54	7.042857e-01	3.770429e+01	1370	fear	fear_20.png	
CEV	   1	  19	   1	   0	3.026171e+02	  60	  60	6.510000e-01	3.895300e+01	1743	fear	fear_19.png	
CEV	   1	  20	   1	   0	3.093249e+02	  70	   0	5.314286e-01	3.700000e+01	2580	fear	fear_3.png	
CEV	   1	  21	   1	   0	3.160829e+02	  50	   0	8.065714e-01	4.022629e+01	 654	fear	fear_2.png	
CEV	   1	  22	   1	   0	3.233973e+02	  55	  55	6.727143e-01	  37	1591	fear	fear_3.png	
CEV	   1	  23	   1	   0	3.304921e+02	  51	  51	6.782857e-01	3.428686e+01	1552	fear	fear_12.png	
CEV	   1	  24	   1	   0	3.381782e+02	  60	  60	6.538571e-01	3.896157e+01	1723	fear	fear_15.png	
CEV	   1	  25	   1	   0	3.440431e+02	  57	  57	6.892857e-01	3.906786e+01	1475	fear	fear_18.png	
CEV	   1	  26	   1	   0	3.506077e+02	  60	  60	6.584286e-01	3.963371e+01	1691	fear	fear_20.png	
CEV	   1	  27	   1	   0	3.569484e+02	  52	  52	6.688571e-01	3.499343e+01	1618	fear	fear_14.png	
CEV	   1	  28	   1	   0	3.632218e+02	  53	  53	7.131429e-01	3.771314e+01	1308	fear	fear_1.png	
CEV	   1	  29	   1	   0	3.690408e+02	  44	   0	8.161429e-01	3.618386e+01	 587	fear	fear_7.png	
CEV	   1	  30	   1	   0	3.754050e+02	  57	  57	6.587143e-01	3.765871e+01	1689	fear	fear_13.png	
CEV	   1	  31	   1	   0	3.823422e+02	  62	  62	6.382857e-01	3.955314e+01	1832	fear	fear_6.png	
CEV	   1	  32	   1	   0	3.889559e+02	  60	   0	6.450000e-01	3.893500e+01	1785	fear	fear_19.png	
CEV	   1	  33	   1	   0	3.950747e+02	  65	   0	5.592857e-01	3.644071e+01	2385	fear	fear_10.png	
CEV	   1	  34	   1	   0	4.012320e+02	  42	  42	8.038571e-01	3.378457e+01	 673	fear	fear_2.png	
CEV	   1	  35	   1	   0	4.072368e+02	  45	  45	8.188571e-01	  37	 568	fear	fear_16.png	
CEV	   1	  36	   1	   0	4.134812e+02	  50	  50	8.075714e-01	4.023029e+01	 647	fear	fear_17.png	
CEV	   1	  37	   1	   0	4.194552e+02	  46	  46	8.277143e-01	3.782771e+01	 506	fear	fear_9.png	
CEV	   1	  38	   1	   0	4.261521e+02	  40	  40	8.212857e-01	3.289357e+01	 551	fear	fear_4.png	
CEV	   1	  39	   1	   0	4.324183e+02	  43	  43	8.015714e-01	3.459529e+01	 689	fear	fear_21.png	
CEV	   1	  40	   1	   0	4.385672e+02	  44	  44	8.064286e-01	3.538714e+01	 655	fear	fear_8.png	
CEV	   1	  41	   1	   0	4.453557e+02	  42	  42	8.254286e-01	3.452371e+01	 522	fear	fear_11.png	
CEV	   1	  42	   1	   0	4.524273e+02	  44	  44	8.038571e-01	3.539229e+01	 673	fear	fear_5.png	
DEV	   1	  43	   2	   0	5.255024e+02	  68	  68	8.948912e-01	6.064203e+01	  18	happy	happy_2.png	
DEV	   1	  44	   2	   0	5.316033e+02	  70	  70	8.020535e-01	5.584092e+01	 356	happy	happy_5.png	
DEV	   1	  45	   2	   0	5.376783e+02	  68	   0	7.637943e-01	5.188129e+01	 503	happy	happy_9.png	
DEV	   1	  46	   2	   0	5.440216e+02	  67	   0	7.852233e-01	5.277552e+01	 420	happy	happy_1.png	
DEV	   1	  47	   2	   0	5.500336e+02	  70	   0	7.962387e-01	5.560026e+01	 378	happy	happy_11.png	
DEV	   1	  48	   2	   0	5.562985e+02	  71	  71	6.301781e-01	4.461931e+01	1073	happy	happy_13.png	
DEV	   1	  49	   2	   0	5.625012e+02	  71	   0	6.128461e-01	4.367251e+01	1156	happy	happy_17.png	
DEV	   1	  50	   2	   0	5.683888e+02	  72	   0	5.419188e-01	3.906859e+01	1529	happy	happy_8.png	
DEV	   1	  51	   2	   0	5.744006e+02	  82	   0	4.715803e-01	3.863223e+01	1976	happy	happy_21.png	
DEV	   1	  52	   2	   0	5.814824e+02	  72	  72	5.810252e-01	4.188535e+01	1316	happy	happy_4.png	
DEV	   1	  53	   2	   0	5.871234e+02	  74	   0	5.992655e-01	4.411578e+01	1223	happy	happy_7.png	
DEV	   1	  54	   2	   0	5.935917e+02	  76	   0	5.495155e-01	4.170728e+01	1486	happy	happy_10.png	
DEV	   1	  55	   2	   0	5.999745e+02	  74	  74	5.450805e-01	4.034250e+01	1511	happy	happy_14.png	
DEV	   1	  56	   2	   0	6.069995e+02	  74	  74	4.983611e-01	3.698658e+01	1794	happy	happy_16.png	
DEV	   1	  57	   2	   0	6.135356e+02	  82	   0	5.258313e-01	4.285848e+01	1623	happy	happy_6.png	
DEV	   1	  58	   2	   0	6.198456e+02	  77	  77	5.348146e-01	4.132799e+01	1570	happy	happy_12.png	
DEV	   1	  59	   2	   0	6.265884e+02	  81	   0	5.278456e-01	4.299532e+01	1611	happy	happy_15.png	
DEV	   1	  60	   2	   0	6.329058e+02	  74	  74	6.093655e-01	4.530813e+01	1173	happy	happy_20.png	
DEV	   1	  61	   2	   0	6.388566e+02	  74	  74	6.350799e-01	4.678869e+01	1050	happy	happy_3.png	
DEV	   1	  62	   2	   0	6.454328e+02	  73	  73	5.839192e-01	4.263429e+01	1301	happy	happy_19.png	
DEV	   1	  63	   2	   0	6.522471e+02	  72	  72	6.085499e-01	4.404338e+01	1177	happy	happy_18.png	
