#Subj:	11059
#Run:	1
#Age:	21
#Gender:	female
#15-Apr-2013
Func	Run	Trial	Block	Null	trialStartTime	Mag	ScoreInc	Freq	EV	RT	Emotion	Image
CEV	   1	   1	  12	   0	4.925201e+02	  62	  62	6.358571e-01	3.954343e+01	1849	scram	scram_16.png	
CEV	   1	   2	  12	   0	4.989310e+02	  50	  50	7.710000e-01	3.854200e+01	 903	scram	scram_8.png	
CEV	   1	   3	  12	   0	5.066842e+02	  73	   0	4.718571e-01	3.464071e+01	2997	scram	scram_15.png	
CEV	   1	   4	  12	   0	5.130438e+02	  67	  67	5.500000e-01	  37	2450	scram	scram_12.png	
CEV	   1	   5	  12	   0	5.209976e+02	  78	   0	5.005714e-01	3.900229e+01	2796	scram	scram_3.png	
CEV	   1	   6	  12	   0	5.280645e+02	  64	   0	5.841429e-01	3.758414e+01	2211	scram	scram_2.png	
CEV	   1	   7	  12	   0	5.348646e+02	  62	  62	6.250000e-01	3.887500e+01	1925	scram	scram_5.png	
CEV	   1	   8	  12	   0	5.424349e+02	  53	  53	6.652857e-01	3.500414e+01	1643	scram	scram_18.png	
CEV	   1	   9	  12	   0	5.488070e+02	  60	  60	6.617143e-01	3.964686e+01	1668	scram	scram_7.png	
CEV	   1	  10	  12	   0	5.557300e+02	  57	  57	6.461429e-01	  37	1777	scram	scram_21.png	
CEV	   1	  11	  12	   0	5.633397e+02	  64	   0	6.228571e-01	4.011429e+01	1940	scram	scram_6.png	
CEV	   1	  12	  12	   0	5.698498e+02	  55	  55	6.785714e-01	  37	1550	scram	scram_19.png	
CEV	   1	  13	  12	   0	5.773103e+02	  76	   0	4.652857e-01	3.513886e+01	3043	scram	scram_9.png	
CEV	   1	  14	  12	   0	5.840238e+02	  49	  49	6.791429e-01	3.360429e+01	1546	scram	scram_20.png	
CEV	   1	  15	  12	   0	5.903345e+02	  57	  57	6.511429e-01	  37	1742	scram	scram_17.png	
CEV	   1	  16	  12	   0	5.972807e+02	  61	   0	6.398571e-01	3.891957e+01	1821	scram	scram_11.png	
CEV	   1	  17	  12	   0	6.029085e+02	  57	  57	6.751429e-01	3.835029e+01	1574	scram	scram_14.png	
CEV	   1	  18	  12	   0	6.087011e+02	  56	  56	6.838571e-01	3.836771e+01	1513	scram	scram_10.png	
