#Subj:	11126
#Run:	1
#Age:	22
#Gender:	female
#27-Feb-2013
Func	Run	Trial	Block	Null	trialStartTime	Mag	ScoreInc	Freq	EV	RT	Emotion	Image
CEV	   1	   1	   1	   0	1.269859e+02	  56	   0	6.807143e-01	3.836143e+01	1535	fear	fear_10.png	
CEV	   1	   2	   1	   0	1.333842e+02	  47	  47	8.285714e-01	3.865714e+01	 500	fear	fear_4.png	
CEV	   1	   3	   1	   0	1.389517e+02	  48	  48	8.041429e-01	3.860829e+01	 671	fear	fear_8.png	
CEV	   1	   4	   1	   0	1.454452e+02	  50	  50	7.635714e-01	3.852714e+01	 955	fear	fear_21.png	
CEV	   1	   5	   1	   0	1.523372e+02	  48	  48	7.352857e-01	3.552943e+01	1153	fear	fear_1.png	
CEV	   1	   6	   1	   0	1.582340e+02	  43	   0	7.907143e-01	3.383714e+01	 765	fear	fear_6.png	
CEV	   1	   7	   1	   0	1.650485e+02	  81	  81	4.712857e-01	3.794257e+01	3001	fear	fear_9.png	
CEV	   1	   8	   1	   0	1.725693e+02	  95	  95	4.124286e-01	3.906214e+01	3413	fear	fear_11.png	
CEV	   1	   9	   1	   0	1.797096e+02	  97	   0	3.784286e-01	3.662157e+01	3651	fear	fear_12.png	
CEV	   1	  10	   1	   0	1.865244e+02	  81	   0	4.714286e-01	3.841429e+01	3000	fear	fear_17.png	
CEV	   1	  11	   1	   0	1.929503e+02	  58	  58	6.111429e-01	3.516657e+01	2022	fear	fear_15.png	
CEV	   1	  12	   1	   0	1.994144e+02	  55	  55	6.575714e-01	3.634243e+01	1697	fear	fear_14.png	
CEV	   1	  13	   1	   0	2.064535e+02	  66	   0	5.802857e-01	3.816057e+01	2238	fear	fear_5.png	
CEV	   1	  14	   1	   0	2.124295e+02	  52	  52	6.827143e-01	3.563457e+01	1521	fear	fear_7.png	
CEV	   1	  15	   1	   0	2.187275e+02	  51	  51	7.622857e-01	3.852457e+01	 964	fear	fear_16.png	
CEV	   1	  16	   1	   0	2.255213e+02	  48	  48	7.062857e-01	3.417486e+01	1356	fear	fear_18.png	
CEV	   1	  17	   1	   0	2.313451e+02	  60	  60	6.692857e-01	4.034643e+01	1615	fear	fear_13.png	
