#Subj:	11131
#Run:	1
#Age:	19
#Gender:	male
#20-Mar-2013
Func	Run	Trial	Block	Null	trialStartTime	Mag	ScoreInc	Freq	EV	RT	Emotion	Image
CEV	   1	   1	  12	   0	8.455671e+01	  62	   0	6.145714e-01	3.822914e+01	1998	scram	scram_16.png	
CEV	   1	   2	  12	   0	9.085804e+01	  47	  47	8.135714e-01	3.862714e+01	 605	scram	scram_8.png	
CEV	   1	   3	  12	   0	9.737014e+01	  47	  47	8.275714e-01	3.865514e+01	 507	scram	scram_15.png	
CEV	   1	   4	  12	   0	1.026917e+02	  46	  46	8.465714e-01	3.869314e+01	 374	scram	scram_12.png	
CEV	   1	   5	  12	   0	1.096232e+02	  45	  45	7.848571e-01	3.543029e+01	 806	scram	scram_3.png	
CEV	   1	   6	  12	   0	1.159022e+02	  42	   0	8.018571e-01	3.379257e+01	 687	scram	scram_2.png	
CEV	   1	   7	  12	   0	1.220470e+02	  48	  48	8.111429e-01	3.862229e+01	 622	scram	scram_5.png	
CEV	   1	   8	  12	   0	1.282857e+02	  51	  51	8.131429e-01	4.106571e+01	 608	scram	scram_18.png	
CEV	   1	   9	  12	   0	1.341491e+02	  45	  45	8.060000e-01	3.619400e+01	 658	scram	scram_7.png	
CEV	   1	  10	  12	   0	1.404018e+02	  47	  47	8.335714e-01	3.950071e+01	 465	scram	scram_21.png	
CEV	   1	  11	  12	   0	1.471859e+02	  40	  40	8.621429e-01	3.441357e+01	 265	scram	scram_6.png	
CEV	   1	  12	  12	   0	1.531718e+02	  44	  44	8.284286e-01	3.617157e+01	 501	scram	scram_19.png	
CEV	   1	  13	  12	   0	1.595278e+02	  49	  49	7.801429e-01	3.856029e+01	 839	scram	scram_9.png	
CEV	   1	  14	  12	   0	1.661321e+02	  50	  50	7.090000e-01	3.558200e+01	1337	scram	scram_20.png	
CEV	   1	  15	  12	   0	1.725276e+02	  62	  62	6.210000e-01	3.824200e+01	1953	scram	scram_17.png	
CEV	   1	  16	  12	   0	1.790105e+02	  44	  44	7.722857e-01	3.391086e+01	 894	scram	scram_11.png	
CEV	   1	  17	  12	   0	1.842495e+02	  52	  52	7.847143e-01	4.092357e+01	 807	scram	scram_14.png	
CEV	   1	  18	  12	   0	1.896496e+02	  48	  48	7.948571e-01	3.779486e+01	 736	scram	scram_10.png	
CEV	   1	  19	  12	   0	1.968352e+02	  65	  65	6.000000e-01	3.880000e+01	2100	scram	scram_13.png	
CEV	   1	  20	  12	   0	2.043519e+02	  55	   0	6.745714e-01	  37	1578	scram	scram_1.png	
CEV	   1	  21	  12	   0	2.110570e+02	  58	   0	6.802857e-01	3.972114e+01	1538	scram	scram_4.png	
CEV	   1	  22	  12	   0	2.174201e+02	  49	  49	7.484286e-01	  37	1061	scram	scram_12.png	
CEV	   1	  23	  12	   0	2.244243e+02	  65	  65	5.361429e-01	3.485543e+01	2547	scram	scram_3.png	
CEV	   1	  24	  12	   0	2.323939e+02	  67	  67	5.791429e-01	3.873743e+01	2246	scram	scram_2.png	
CEV	   1	  25	  12	   0	2.398379e+02	  70	  70	5.532857e-01	3.865986e+01	2427	scram	scram_11.png	
CEV	   1	  26	  12	   0	2.462376e+02	  72	  72	5.430000e-01	3.917200e+01	2499	scram	scram_9.png	
