#Subj:	11165
#Run:	1
#Age:	23
#Gender:	female
#06-Aug-2013
Func	Run	Trial	Block	Null	trialStartTime	Mag	ScoreInc	Freq	EV	RT	Emotion	Image
CEV	1	1	12	0	1.617465e+02	48	48	8.121429e-01	3.862429e+01	615	scram	scram_16.png
CEV	1	2	12	0	1.683708e+02	53	53	7.227143e-01	3.844543e+01	1241	scram	scram_8.png
CEV	1	3	12	0	1.747377e+02	45	45	8.610000e-01	3.872200e+01	273	scram	scram_15.png
CEV	1	4	12	0	1.805995e+02	56	56	6.865714e-01	3.837314e+01	1494	scram	scram_12.png
CEV	1	5	12	0	1.878759e+02	52	52	6.830000e-01	3.563400e+01	1519	scram	scram_3.png
CEV	1	6	12	0	1.950447e+02	64	0	5.418571e-01	3.483257e+01	2507	scram	scram_2.png
CEV	1	7	12	0	2.012285e+02	49	49	7.947143e-01	3.858943e+01	737	scram	scram_5.png
CEV	1	8	12	0	2.078337e+02	58	58	7.028571e-01	4.051429e+01	1380	scram	scram_18.png
CEV	1	9	12	0	2.140895e+02	53	53	6.897143e-01	3.631029e+01	1472	scram	scram_7.png
CEV	1	10	12	0	2.208867e+02	58	0	6.768571e-01	3.903057e+01	1562	scram	scram_21.png
CEV	1	11	12	0	2.280623e+02	47	47	7.402857e-01	3.477914e+01	1118	scram	scram_6.png
CEV	1	12	12	0	2.345702e+02	54	54	6.741429e-01	3.632586e+01	1581	scram	scram_19.png
CEV	1	13	12	0	2.412290e+02	56	0	6.882857e-01	3.837657e+01	1482	scram	scram_9.png
CEV	1	14	12	0	2.475827e+02	46	46	7.754286e-01	3.544914e+01	872	scram	scram_20.png
CEV	1	15	12	0	2.535460e+02	52	52	7.438571e-01	3.848771e+01	1093	scram	scram_17.png
CEV	1	16	12	0	2.599687e+02	43	43	7.841429e-01	3.386343e+01	811	scram	scram_11.png
CEV	1	17	12	0	2.653992e+02	56	56	7.247143e-01	4.062357e+01	1227	scram	scram_14.png
CEV	1	18	12	0	2.709587e+02	51	51	7.468571e-01	3.774686e+01	1072	scram	scram_10.png
CEV	1	19	12	0	2.776291e+02	53	53	7.420000e-01	3.922600e+01	1106	scram	scram_13.png
CEV	1	20	12	0	2.849683e+02	51	51	7.228571e-01	37	1240	scram	scram_1.png
CEV	1	21	12	0	2.915332e+02	56	0	7.151429e-01	3.986057e+01	1294	scram	scram_4.png
CEV	1	22	12	0	2.978081e+02	48	48	7.697143e-01	37	912	scram	scram_12.png
CEV	1	23	12	0	3.041071e+02	46	46	7.341429e-01	3.406343e+01	1161	scram	scram_3.png
CEV	1	24	12	0	3.114598e+02	52	52	7.475714e-01	3.924271e+01	1067	scram	scram_2.png
CEV	1	25	12	0	3.183078e+02	54	54	7.205714e-01	3.916171e+01	1256	scram	scram_11.png
