#Subj:	11184
#Run:	1
#Age:	24
#Gender:	female
#21-Jun-2013
Func	Run	Trial	Block	Null	trialStartTime	Mag	ScoreInc	Freq	EV	RT	Emotion	Image
CEV	1	1	1	0	6.397897e+01	59	0	6.471429e-01	3.829429e+01	1770	fear	fear_10.png
CEV	1	2	1	0	7.080524e+01	54	54	7.158571e-01	3.843171e+01	1289	fear	fear_4.png
CEV	1	3	1	0	7.753385e+01	80	80	4.725714e-01	3.794514e+01	2992	fear	fear_8.png
CEV	1	4	1	0	8.511816e+01	84	84	4.515714e-01	3.790314e+01	3139	fear	fear_21.png
CEV	1	5	1	0	9.305053e+01	83	83	4.378571e-01	3.612429e+01	3235	fear	fear_1.png
CEV	1	6	1	0	1.001890e+02	81	0	4.362857e-01	3.525486e+01	3246	fear	fear_6.png
CEV	1	7	1	0	1.058643e+02	48	48	7.972857e-01	3.859457e+01	719	fear	fear_9.png
CEV	1	8	1	0	1.132344e+02	86	86	4.557143e-01	3.927857e+01	3110	fear	fear_11.png
CEV	1	9	1	0	1.197962e+02	67	67	5.438571e-01	3.645614e+01	2493	fear	fear_12.png
CEV	1	10	1	0	1.263895e+02	72	0	5.350000e-01	3.860500e+01	2555	fear	fear_17.png
CEV	1	11	1	0	1.321761e+02	44	44	7.942857e-01	3.461714e+01	740	fear	fear_15.png
CEV	1	12	1	0	1.384879e+02	52	52	7.014286e-01	3.629857e+01	1390	fear	fear_14.png
CEV	1	13	1	0	1.459178e+02	81	0	4.675714e-01	3.793514e+01	3027	fear	fear_5.png
CEV	1	14	1	0	1.515635e+02	46	46	7.772857e-01	3.544543e+01	859	fear	fear_7.png
CEV	1	15	1	0	1.579905e+02	53	53	7.260000e-01	3.845200e+01	1218	fear	fear_16.png
CEV	1	16	1	0	1.643869e+02	41	41	8.201429e-01	3.371943e+01	559	fear	fear_18.png
CEV	1	17	1	0	1.698192e+02	52	52	7.814286e-01	4.090714e+01	830	fear	fear_13.png
CEV	1	18	1	0	1.761527e+02	50	50	7.527143e-01	3.775271e+01	1031	fear	fear_20.png
CEV	1	19	1	0	1.830910e+02	59	59	6.658571e-01	3.899757e+01	1639	fear	fear_19.png
CEV	1	20	1	0	1.892698e+02	54	0	6.825714e-01	37	1522	fear	fear_3.png
CEV	1	21	1	0	1.973609e+02	92	0	4.221429e-01	3.868857e+01	3345	fear	fear_2.png
CEV	1	22	1	0	2.043326e+02	48	48	7.715714e-01	37	899	fear	fear_3.png
CEV	1	23	1	0	2.113783e+02	49	49	6.957143e-01	3.421714e+01	1430	fear	fear_12.png
CEV	1	24	1	0	2.195492e+02	75	75	5.160000e-01	3.854800e+01	2688	fear	fear_15.png
CEV	1	25	1	0	2.256633e+02	63	63	6.187143e-01	3.885614e+01	1969	fear	fear_18.png
CEV	1	26	1	0	2.322573e+02	61	61	6.500000e-01	3.960000e+01	1750	fear	fear_20.png
CEV	1	27	1	0	2.391542e+02	70	70	5.075714e-01	3.547729e+01	2747	fear	fear_14.png
CEV	1	28	1	0	2.449673e+02	45	45	8.457143e-01	3.784571e+01	380	fear	fear_1.png
CEV	1	29	1	0	2.509692e+02	47	0	7.661429e-01	3.623386e+01	937	fear	fear_7.png
CEV	1	30	1	0	2.580479e+02	81	0	4.607143e-01	3.746071e+01	3075	fear	fear_13.png
CEV	1	31	1	0	2.645911e+02	53	53	7.532857e-01	4.001314e+01	1027	fear	fear_6.png
CEV	1	32	1	0	2.708551e+02	53	0	7.458571e-01	3.923757e+01	1079	fear	fear_19.png
CEV	1	33	1	0	2.767438e+02	58	58	6.268571e-01	3.637314e+01	1912	fear	fear_10.png
CEV	1	34	1	0	2.839467e+02	69	69	5.057143e-01	3.497714e+01	2760	fear	fear_2.png
CEV	1	35	1	0	2.901562e+02	49	0	7.611429e-01	37	972	fear	fear_16.png
CEV	1	36	1	0	2.968710e+02	59	59	6.735714e-01	3.969429e+01	1585	fear	fear_17.png
CEV	1	37	1	0	3.035158e+02	59	59	6.362857e-01	3.763629e+01	1846	fear	fear_9.png
CEV	1	38	1	0	3.108983e+02	53	53	6.340000e-01	3.383000e+01	1862	fear	fear_4.png
CEV	1	39	1	0	3.177777e+02	55	0	6.350000e-01	3.509500e+01	1855	fear	fear_21.png
CEV	1	40	1	0	3.252340e+02	83	0	4.338571e-01	3.613229e+01	3263	fear	fear_8.png
CEV	1	41	1	0	3.325640e+02	51	51	6.790000e-01	3.496300e+01	1547	fear	fear_11.png
CEV	1	42	1	0	3.398758e+02	49	49	7.325714e-01	3.553486e+01	1172	fear	fear_5.png
DEV	1	43	2	0	4.171404e+02	75	0	6.936606e-01	5.206519e+01	789	happy	happy_2.png
DEV	1	44	2	0	4.240069e+02	78	78	4.898569e-01	3.842363e+01	1850	happy	happy_5.png
DEV	1	45	2	0	4.312295e+02	78	0	3.814430e-01	2.993404e+01	2755	happy	happy_9.png
