#Subj:	11188
#Run:	1
#Age:	30
#Gender:	male
#28-Jun-2013
Func	Run	Trial	Block	Null	trialStartTime	Mag	ScoreInc	Freq	EV	RT	Emotion	Image
CEV	1	1	1	0	6.893734e+01	61	0	6.311429e-01	3.826229e+01	1882	fear	fear_10.png
CEV	1	2	1	0	7.662296e+01	81	81	4.701429e-01	3.794029e+01	3009	fear	fear_4.png
CEV	1	3	1	0	8.331370e+01	78	78	4.838571e-01	3.796771e+01	2913	fear	fear_8.png
CEV	1	4	1	0	8.982798e+01	51	51	7.571429e-01	3.851429e+01	1000	fear	fear_21.png
CEV	1	5	1	0	9.742906e+01	67	67	5.325714e-01	3.593486e+01	2572	fear	fear_1.png
CEV	1	6	1	0	1.046090e+02	83	0	4.244286e-01	3.530229e+01	3329	fear	fear_6.png
CEV	1	7	1	0	1.112939e+02	74	74	5.120000e-01	3.802400e+01	2716	fear	fear_9.png
CEV	1	8	1	0	1.184757e+02	78	78	5.095714e-01	3.954786e+01	2733	fear	fear_11.png
CEV	1	9	1	0	1.252886e+02	77	77	4.731429e-01	3.652686e+01	2988	fear	fear_12.png
CEV	1	10	1	0	1.319802e+02	76	0	5.068571e-01	3.852057e+01	2752	fear	fear_17.png
CEV	1	11	1	0	1.389265e+02	76	0	4.697143e-01	3.559086e+01	3012	fear	fear_15.png
CEV	1	12	1	0	1.452865e+02	53	53	6.877143e-01	3.631229e+01	1486	fear	fear_14.png
CEV	1	13	1	0	1.519609e+02	56	0	6.834286e-01	3.836686e+01	1516	fear	fear_5.png
CEV	1	14	1	0	1.584861e+02	68	0	5.260000e-01	3.594800e+01	2618	fear	fear_7.png
CEV	1	15	1	0	1.657379e+02	77	77	4.901429e-01	3.798029e+01	2869	fear	fear_16.png
CEV	1	16	1	0	1.732684e+02	71	0	4.961429e-01	3.501543e+01	2827	fear	fear_18.png
CEV	1	17	1	0	1.796530e+02	78	78	5.092857e-01	3.954643e+01	2735	fear	fear_13.png
CEV	1	18	1	0	1.868314e+02	73	73	5.112857e-01	3.751129e+01	2721	fear	fear_20.png
CEV	1	19	1	0	1.942843e+02	74	74	5.187143e-01	3.855614e+01	2669	fear	fear_19.png
CEV	1	20	1	0	2.010281e+02	71	0	5.211429e-01	37	2652	fear	fear_3.png
CEV	1	21	1	0	2.088417e+02	78	0	5.012857e-01	3.900514e+01	2791	fear	fear_2.png
CEV	1	22	1	0	2.169030e+02	81	81	4.590000e-01	3.700000e+01	3087	fear	fear_3.png
CEV	1	23	1	0	2.247235e+02	75	75	4.707143e-01	3.511714e+01	3005	fear	fear_12.png
CEV	1	24	1	0	2.331610e+02	88	88	4.374286e-01	3.831229e+01	3238	fear	fear_15.png
CEV	1	25	1	0	2.399939e+02	93	93	4.102857e-01	3.823086e+01	3428	fear	fear_18.png
CEV	1	26	1	0	2.474729e+02	97	97	3.971429e-01	3.858857e+01	3520	fear	fear_20.png
CEV	1	27	1	0	2.547850e+02	92	92	3.878571e-01	3.583643e+01	3585	fear	fear_14.png
CEV	1	28	1	0	2.622560e+02	101	0	3.711429e-01	3.737114e+01	3702	fear	fear_1.png
CEV	1	29	1	0	2.694866e+02	89	0	4.111429e-01	3.658886e+01	3422	fear	fear_7.png
CEV	1	30	1	0	2.767556e+02	93	0	4.001429e-01	3.740014e+01	3499	fear	fear_13.png
CEV	1	31	1	0	2.843645e+02	87	87	4.467143e-01	3.878686e+01	3173	fear	fear_6.png
CEV	1	32	1	0	2.917314e+02	89	0	4.297143e-01	3.828914e+01	3292	fear	fear_19.png
CEV	1	33	1	0	2.983576e+02	89	0	4.125714e-01	3.658743e+01	3412	fear	fear_10.png
CEV	1	34	1	0	3.047722e+02	47	47	7.302857e-01	3.407886e+01	1188	fear	fear_2.png
CEV	1	35	1	0	3.122050e+02	90	0	4.108571e-01	3.700000e+01	3424	fear	fear_16.png
CEV	1	36	1	0	3.183769e+02	49	49	8.291429e-01	4.031657e+01	496	fear	fear_17.png
CEV	1	37	1	0	3.248304e+02	55	55	6.908571e-01	3.769086e+01	1464	fear	fear_9.png
CEV	1	38	1	0	3.329990e+02	87	87	4.018571e-01	3.499071e+01	3487	fear	fear_4.png
CEV	1	39	1	0	3.406511e+02	88	0	4.054286e-01	3.578371e+01	3462	fear	fear_21.png
CEV	1	40	1	0	3.482478e+02	92	0	3.927143e-01	3.621457e+01	3551	fear	fear_8.png
CEV	1	41	1	0	3.552133e+02	45	45	7.734286e-01	3.467971e+01	886	fear	fear_11.png
CEV	1	42	1	0	3.633639e+02	73	0	4.917143e-01	3.601657e+01	2858	fear	fear_5.png
DEV	1	43	2	0	4.389896e+02	77	0	6.406727e-01	4.902685e+01	1024	happy	happy_2.png
DEV	1	44	2	0	4.459538e+02	79	79	4.569614e-01	3.624291e+01	2083	happy	happy_5.png
DEV	1	45	2	0	4.533258e+02	79	0	3.510492e-01	2.788113e+01	3098	happy	happy_9.png
DEV	1	46	2	0	4.602016e+02	74	0	5.459635e-01	4.039549e+01	1506	happy	happy_1.png
DEV	1	47	2	0	4.673817e+02	81	0	3.853703e-01	3.135234e+01	2714	happy	happy_11.png
DEV	1	48	2	0	4.749622e+02	80	0	3.025849e-01	2.418489e+01	3715	happy	happy_13.png
DEV	1	49	2	0	4.808807e+02	68	0	7.418360e-01	5.016590e+01	590	happy	happy_17.png
DEV	1	50	2	0	4.867389e+02	72	0	5.543622e-01	3.978880e+01	1459	happy	happy_8.png
DEV	1	51	2	0	4.932611e+02	85	0	3.595979e-01	3.062076e+01	2997	happy	happy_21.png
DEV	1	52	2	0	5.006746e+02	75	75	4.717207e-01	3.533992e+01	1975	happy	happy_4.png
DEV	1	53	2	0	5.067066e+02	77	0	4.661580e-01	3.592469e+01	2015	happy	happy_7.png
DEV	1	54	2	0	5.133620e+02	77	0	4.882143e-01	3.782759e+01	1861	happy	happy_10.png
DEV	1	55	2	0	5.201050e+02	77	77	4.371755e-01	3.359906e+01	2238	happy	happy_14.png
DEV	1	56	2	0	5.273494e+02	76	76	4.370530e-01	3.315407e+01	2239	happy	happy_16.png
DEV	1	57	2	0	5.342652e+02	84	0	4.201701e-01	3.543435e+01	2382	happy	happy_6.png
DEV	1	58	2	0	5.409725e+02	80	80	4.229171e-01	3.394128e+01	2358	happy	happy_12.png
DEV	1	59	2	0	5.479965e+02	84	0	4.421295e-01	3.701409e+01	2198	happy	happy_15.png
DEV	1	60	2	0	5.548545e+02	79	0	4.338895e-01	3.425398e+01	2265	happy	happy_20.png
DEV	1	61	2	0	5.610923e+02	77	77	5.256639e-01	4.021879e+01	1624	happy	happy_3.png
DEV	1	62	2	0	5.678515e+02	75	75	5.188715e-01	3.875209e+01	1665	happy	happy_19.png
DEV	1	63	2	0	5.749048e+02	75	75	5.208457e-01	3.887304e+01	1653	happy	happy_18.png
DEV	1	64	2	0	5.822619e+02	77	77	5.195283e-01	3.983141e+01	1661	happy	happy_2.png
DEV	1	65	2	0	5.879408e+02	82	0	5.185435e-01	4.236179e+01	1667	happy	happy_17.png
DEV	1	66	2	0	5.945660e+02	78	78	4.982072e-01	3.896998e+01	1795	happy	happy_7.png
DEV	1	67	2	0	6.026629e+02	82	0	3.005825e-01	2.464366e+01	3741	happy	happy_3.png
