#Subj:	8
#Run:	1
#Age:	24
#Gender:	female
#17-Apr-2013
Func	Run	Trial	Block	Null	trialStartTime	Mag	ScoreInc	Freq	EV	RT	Emotion	Image
CEV	   1	   1	   1	   0	3.445015e+01	  50	  50	7.652857e-01	3.853057e+01	 943	fear	fear_10.png	
CEV	   1	   2	   1	   0	4.264164e+01	 116	   0	3.258571e-01	3.765171e+01	4019	fear	fear_4.png	
CEV	   1	   3	   1	   0	4.995646e+01	 116	   0	3.238571e-01	3.764771e+01	4033	fear	fear_8.png	
CEV	   1	   4	   1	   0	5.806721e+01	 118	   0	3.198571e-01	3.763971e+01	4061	fear	fear_21.png	
CEV	   1	   5	   1	   0	6.533665e+01	  57	  57	6.275714e-01	3.574486e+01	1907	fear	fear_1.png	
CEV	   1	   6	   1	   0	7.149765e+01	  48	   0	7.155714e-01	3.413771e+01	1291	fear	fear_6.png	
CEV	   1	   7	   1	   0	7.756445e+01	  56	  56	6.855714e-01	3.837114e+01	1501	fear	fear_9.png	
CEV	   1	   8	   1	   0	8.383117e+01	  53	  53	7.712857e-01	4.085643e+01	 901	fear	fear_11.png	
CEV	   1	   9	   1	   0	8.963134e+01	  48	  48	7.614286e-01	3.623857e+01	 970	fear	fear_12.png	
CEV	   1	  10	   1	   0	9.552462e+01	  53	   0	7.350000e-01	3.920500e+01	1155	fear	fear_17.png	
CEV	   1	  11	   1	   0	1.017976e+02	  53	  53	6.552857e-01	3.503414e+01	1713	fear	fear_15.png	
