rewFunc,trial,run,points,magnitude,score,prob,ev,rt,emotion
DEV,1,1,178.6258,82,0,0.44175,36.1037,2201,happy
DEV,2,1,185.33,76,76,0.67536,51.041,868,happy
DEV,3,1,191.0134,73,73,0.77226,56.1028,470,happy
DEV,4,1,197.5186,75,75,0.70907,52.9055,724,happy
DEV,5,1,204.5464,72,72,0.66877,47.9901,897,happy
DEV,6,1,211.1492,67,0,0.76456,51.1497,500,happy
DEV,7,1,217.1337,74,74,0.7209,53.5356,675,happy
DEV,8,1,223.2149,77,77,0.72066,55.6848,676,happy
DEV,9,1,229.1095,71,71,0.71678,51.1671,692,happy
DEV,10,1,235.7065,75,0,0.71316,53.8377,707,happy
DEV,11,1,242.1496,69,69,0.74233,50.9304,588,happy
DEV,12,1,248.8484,70,70,0.76277,53.3628,507,happy
DEV,13,1,256.1774,74,0,0.7134,53.1374,706,happy
DEV,14,1,261.6923,67,67,0.8063,54.401,340,happy
DEV,15,1,268.6286,78,78,0.57302,44.8646,1358,happy
DEV,16,1,275.2582,72,72,0.57132,41.3287,1367,happy
DEV,17,1,281.4541,81,81,0.58566,47.4206,1292,happy
DEV,18,1,288.4099,78,78,0.5611,43.542,1422,happy
DEV,19,1,296.1808,81,81,0.52283,42.1315,1641,happy
DEV,20,1,303.5056,80,0,0.42303,33.9491,2357,happy
DEV,21,1,310.5503,86,0,0.36029,31.032,2989,happy
DEV,22,1,316.9538,77,77,0.54473,41.9555,1513,happy
DEV,23,1,322.9919,73,73,0.53379,39.1275,1576,happy
DEV,24,1,329.5525,80,80,0.56,44.5925,1428,happy
DEV,25,1,335.76,80,80,0.5449,43.6013,1512,happy
DEV,26,1,343.0653,82,82,0.49805,40.9522,1796,happy
DEV,27,1,349.9606,76,76,0.48437,36.6098,1887,happy
DEV,28,1,356.6753,80,80,0.47783,38.1093,1932,happy
DEV,29,1,364.5824,78,0,0.4706,36.6817,1983,happy
DEV,30,1,370.4777,76,76,0.62616,47.5324,1092,happy
DEV,31,1,376.8711,78,78,0.67217,52.2039,882,happy
DEV,32,1,383.0154,76,0,0.69343,52.7457,790,happy
DEV,33,1,389.7504,73,73,0.65379,47.8374,964,happy
DEV,34,1,397.0894,75,75,0.47088,35.2874,1981,happy
DEV,35,1,404.4403,75,0,0.6051,45.6634,1194,happy
DEV,36,1,410.7301,75,75,0.76943,57.5081,481,happy
DEV,37,1,417.9901,72,72,0.75363,54.4521,543,happy
DEV,38,1,424.0701,66,66,0.77484,50.7998,460,happy
DEV,39,1,430.0734,69,0,0.71509,49.6521,699,happy
DEV,40,1,435.7627,72,72,0.65511,47.2557,958,happy
IEV,41,2,449.3878,37,37,0.7706,28.3308,1929,fear
IEV,42,2,455.8271,44,44,0.73434,32.1664,2170,fear
IEV,43,2,463.7628,67,0,0.63008,42.1612,2762,fear
IEV,44,2,470.1749,20,20,0.88412,17.9266,723,fear
IEV,45,2,476.785,17,0,0.88471,15.1745,710,fear
IEV,46,2,484.1047,22,22,0.85846,19.0203,1136,fear
IEV,47,2,491.087,34,0,0.80687,27.3006,1653,fear
IEV,48,2,497.7306,37,37,0.76298,28.2452,1982,fear
IEV,49,2,504.6602,41,0,0.73813,30.3832,2146,fear
IEV,50,2,510.9664,45,0,0.71199,31.7832,2307,fear
IEV,51,2,517.8573,41,0,0.77897,32.2425,1869,fear
IEV,52,2,525.8856,91,91,0.50485,45.7146,3385,fear
IEV,53,2,533.4495,107,0,0.4573,48.9702,3613,fear
IEV,54,2,542.196,91,0,0.51274,46.8423,3347,fear
IEV,55,2,548.3012,17,17,0.88538,15.0611,695,fear
IEV,56,2,557.7192,58,58,0.64579,37.3273,2679,fear
IEV,57,2,564.3679,78,78,0.5893,45.6823,2971,fear
IEV,58,2,570.991,81,81,0.55569,45.1739,3138,fear
IEV,59,2,577.9912,93,0,0.52576,48.8174,3284,fear
IEV,60,2,586.3451,83,83,0.54324,45.2834,3199,fear
IEV,61,2,594.7166,85,85,0.53832,45.5416,3223,fear
IEV,62,2,602.673,93,93,0.5009,46.4187,3404,fear
IEV,63,2,610.1016,101,101,0.47276,47.7924,3539,fear
IEV,64,2,618.2826,110,110,0.45124,49.6912,3642,fear
IEV,65,2,625.2445,112,0,0.45939,51.6326,3603,fear
IEV,66,2,633.5133,110,0,0.45562,49.9562,3621,fear
IEV,67,2,642.1515,98,0,0.48528,47.6764,3479,fear
IEV,68,2,649.5297,86,86,0.53421,45.7552,3243,fear
IEV,69,2,656.5861,125,125,0.42055,52.6527,3789,fear
IEV,70,2,665.2451,126,0,0.4033,50.8426,3872,fear
IEV,71,2,672.8756,87,87,0.51688,45.0857,3327,fear
IEV,72,2,680.3442,100,0,0.4982,50.0416,3417,fear
IEV,73,2,687.7262,99,99,0.49424,48.728,3436,fear
IEV,74,2,695.5516,65,65,0.61485,39.9856,2841,fear
IEV,75,2,703.9721,91,91,0.52906,48.1364,3268,fear
IEV,76,2,711.6188,86,86,0.51626,44.6023,3330,fear
IEV,77,2,719.4578,94,0,0.51191,47.9071,3351,fear
IEV,78,2,729.032,117,0,0.43787,51.1359,3706,fear
IEV,79,2,736.6991,109,109,0.45855,49.831,3607,fear
IEV,80,2,744.1686,112,112,0.45604,50.8505,3619,fear
CEVR,81,3,761.9688,128,128,0.29292,37.5858,1879,scram
CEVR,82,3,769.6105,123,0,0.29852,36.7015,1962,scram
CEVR,83,3,776.7336,134,134,0.28257,37.8477,1717,scram
CEVR,84,3,784.8115,150,0,0.25352,38.0141,1192,scram
CEVR,85,3,793.0145,135,0,0.27495,37,1590,scram
CEVR,86,3,800.5136,110,110,0.33308,36.6669,2412,scram
CEVR,87,3,807.4956,99,0,0.37374,37,2835,scram
CEVR,88,3,814.9829,90,0,0.42487,38.2746,3252,scram
CEVR,89,3,820.6436,170,0,0.2186,37.2186,376,scram
CEVR,90,3,827.531,159,0,0.23766,37.713,851,scram
CEVR,91,3,834.1464,136,0,0.26951,36.7305,1495,scram
CEVR,92,3,841.8824,140,0,0.27252,38.0901,1548,scram
CEVR,93,3,848.9418,130,0,0.28689,37.2869,1786,scram
CEVR,94,3,856.6908,130,0,0.2782,36.1654,1645,scram
CEVR,95,3,863.5607,117,117,0.31539,37,2194,scram
CEVR,96,3,871.6573,114,114,0.33437,38.0031,2427,scram
CEVR,97,3,879.0617,106,106,0.33839,35.9848,2473,scram
CEVR,98,3,886.921,102,0,0.35162,35.9452,2617,scram
CEVR,99,3,894.2073,103,0,0.35325,36.2935,2634,scram
CEVR,100,3,901.6518,111,111,0.32893,36.6711,2363,scram
CEVR,101,3,908.8717,118,0,0.32399,38.296,2303,scram
CEVR,102,3,915.3171,112,112,0.32876,36.6712,2361,scram
CEVR,103,3,921.9893,131,0,0.27843,36.4431,1649,scram
CEVR,104,3,928.4137,132,132,0.28269,37.2827,1719,scram
CEVR,105,3,935.1723,130,0,0.28619,37.2862,1775,scram
CEVR,106,3,941.1113,127,127,0.28412,36.1477,1742,scram
CEVR,107,3,948.2337,129,0,0.28183,36.4363,1705,scram
CEVR,108,3,954.7602,132,0,0.27754,36.7225,1634,scram
CEVR,109,3,961.7052,127,127,0.28226,35.871,1712,scram
CEVR,110,3,968.7902,136,136,0.27772,37.8332,1637,scram
CEVR,111,3,975.5985,136,0,0.2797,38.1188,1670,scram
CEVR,112,3,982.4509,133,0,0.27814,37,1644,scram
CEVR,113,3,988.7492,130,0,0.27879,36.1636,1655,scram
CEVR,114,3,995.9755,136,0,0.28275,38.4138,1720,scram
CEVR,115,3,1003.3878,129,129,0.28663,37,1782,scram
CEVR,116,3,1010.2459,135,0,0.27425,37,1578,scram
CEVR,117,3,1016.5052,131,0,0.28594,37.5719,1771,scram
CEVR,118,3,1024.0284,130,0,0.28183,36.7182,1705,scram
CEVR,119,3,1031.0487,109,0,0.32335,35.3833,2295,scram
CEVR,120,3,1038.1407,120,0,0.31967,38.2787,2249,scram
DEV,121,4,1048.4943,78,78,0.37098,28.8611,2868,fear
DEV,122,4,1055.6745,77,0,0.46465,35.8271,2026,fear
DEV,123,4,1063.6726,71,0,0.63679,44.9755,1042,fear
DEV,124,4,1070.1535,66,66,0.7847,51.9698,422,fear
DEV,125,4,1077.149,70,70,0.80391,55.9167,349,fear
DEV,126,4,1084.0253,71,0,0.83157,58.6444,246,fear
DEV,127,4,1090.0758,75,75,0.75061,56.5574,555,fear
DEV,128,4,1096.9449,78,78,0.56627,44.4346,1394,fear
DEV,129,4,1103.2098,71,0,0.56851,40.5979,1382,fear
DEV,130,4,1109.6837,77,77,0.52886,40.9485,1605,fear
DEV,131,4,1117.2798,85,0,0.39315,33.4658,2635,fear
DEV,132,4,1124.3972,84,0,0.31979,26.9927,3491,fear
DEV,133,4,1131.7647,87,0,0.29718,25.8803,3785,fear
DEV,134,4,1138.5545,74,74,0.55799,41.1133,1439,fear
DEV,135,4,1144.3273,79,79,0.60469,48.0581,1196,fear
DEV,136,4,1150.2115,75,75,0.63981,47.6959,1028,fear
DEV,137,4,1155.9814,80,0,0.60591,48.7413,1190,fear
DEV,138,4,1163.025,76,76,0.57529,43.8583,1346,fear
DEV,139,4,1170.0758,73,0,0.5407,39.5381,1536,fear
DEV,140,4,1177.0094,70,70,0.60814,42.8041,1179,fear
DEV,141,4,1182.9104,76,76,0.59429,45.015,1248,fear
DEV,142,4,1190.246,78,0,0.61925,48.3596,1125,fear
DEV,143,4,1198.7144,79,79,0.53723,42.5555,1556,fear
DEV,144,4,1206.1458,81,0,0.4854,39.1015,1880,fear
DEV,145,4,1213.658,83,0,0.52068,43.0284,1654,fear
DEV,146,4,1219.776,78,78,0.62785,48.8882,1084,fear
DEV,147,4,1225.7656,75,0,0.60147,44.845,1212,fear
DEV,148,4,1232.6313,72,72,0.56814,41.1448,1384,fear
DEV,149,4,1238.6533,74,74,0.54952,40.6083,1486,fear
DEV,150,4,1247.1265,80,0,0.52953,42.5803,1601,fear
DEV,151,4,1254.3313,73,73,0.5569,40.4915,1445,fear
DEV,152,4,1261.3096,76,76,0.60308,45.5428,1204,fear
DEV,153,4,1268.0528,77,0,0.61905,47.7277,1126,fear
DEV,154,4,1274.8428,75,75,0.56,41.7925,1428,fear
DEV,155,4,1282.5675,72,0,0.55292,39.7057,1467,fear
DEV,156,4,1289.1273,73,73,0.57151,41.9111,1366,fear
DEV,157,4,1295.6987,77,77,0.50869,39.143,1728,fear
DEV,158,4,1304.9058,77,77,0.54969,42.268,1485,fear
DEV,159,4,1312.1752,83,0,0.50758,42.1176,1735,fear
DEV,160,4,1318.7985,74,0,0.51399,37.938,1695,fear
IEV,161,5,1466.3622,24,24,0.85533,20.2794,1175,happy
IEV,162,5,1472.9776,22,0,0.87623,19.1578,875,happy
IEV,163,5,1479.3602,31,0,0.82022,25.1353,1538,happy
IEV,164,5,1487.2372,50,0,0.69615,35.1063,2400,happy
IEV,165,5,1493.8335,44,44,0.75635,33.3675,2027,happy
IEV,166,5,1501.2431,40,40,0.7798,31.3917,1863,happy
IEV,167,5,1508.212,49,49,0.70063,34.0742,2374,happy
IEV,168,5,1515.227,65,65,0.65418,42.6388,2634,happy
IEV,169,5,1523.435,77,0,0.55365,42.5135,3148,happy
IEV,170,5,1531.2347,115,0,0.45228,51.9074,3637,happy
IEV,171,5,1538.8612,127,127,0.4006,50.9514,3885,happy
