#Subj:	1002
#Run:	1
#Age:	22
#Gender:	female
#10-Dec-2012
Func	Run	Trial	Block	Null	trialStartTime	Mag	ScoreInc	Freq	EV	RT	Emotion	Image
DEV	   1	   1	   1	   0	7.816391e+01	  72	  72	6.751353e-01	4.832749e+01	 869	happy	happy_13.png	
DEV	   1	   2	   1	   0	8.526749e+01	  75	  75	5.112484e-01	3.828336e+01	1712	happy	happy_12.png	
DEV	   1	   3	   1	   0	9.212673e+01	  87	   0	3.748080e-01	3.248805e+01	2826	happy	happy_19.png	
DEV	   1	   4	   1	   0	1.008411e+02	  77	   0	6.441414e-01	4.987637e+01	1008	happy	happy_8.png	
DEV	   1	   5	   1	   0	1.088465e+02	  73	  73	5.831456e-01	4.258945e+01	1305	happy	happy_2.png	
DEV	   1	   6	   1	   0	1.154540e+02	  73	  73	5.789147e-01	4.234363e+01	1327	happy	happy_1.png	
DEV	   1	   7	   1	   0	1.218650e+02	  75	   0	5.420937e-01	4.070506e+01	1528	happy	happy_11.png	
DEV	   1	   8	   1	   0	1.283294e+02	  78	  78	5.590856e-01	4.341459e+01	1433	happy	happy_4.png	
DEV	   1	   9	   1	   0	1.360073e+02	  75	  75	5.952830e-01	4.447947e+01	1243	happy	happy_6.png	
DEV	   1	  10	   1	   0	1.429716e+02	  76	   0	5.675777e-01	4.338270e+01	1387	happy	happy_7.png	
DEV	   1	  11	   1	   0	1.499204e+02	  80	   0	5.286882e-01	4.252382e+01	1606	happy	happy_10.png	
DEV	   1	  12	   1	   0	1.570494e+02	  78	   0	5.722655e-01	4.481659e+01	1362	happy	happy_5.png	
DEV	   1	  13	   1	   0	1.639835e+02	  73	  73	5.334442e-01	3.910708e+01	1578	happy	happy_3.png	
DEV	   1	  14	   1	   0	1.709383e+02	  74	  74	5.730204e-01	4.257249e+01	1358	happy	happy_18.png	
DEV	   1	  15	   1	   0	1.782994e+02	  73	  73	5.449042e-01	3.978701e+01	1512	happy	happy_15.png	
DEV	   1	  16	   1	   0	1.850124e+02	  79	  79	5.420937e-01	4.287343e+01	1528	happy	happy_20.png	
DEV	   1	  17	   1	   0	1.912910e+02	  79	  79	5.549044e-01	4.370433e+01	1456	happy	happy_9.png	
DEV	   1	  18	   1	   0	1.982546e+02	  72	  72	5.598172e-01	4.010199e+01	1429	happy	happy_17.png	
DEV	   1	  19	   1	   0	2.059877e+02	  75	   0	5.360179e-01	4.033238e+01	1563	happy	happy_14.png	
DEV	   1	  20	   1	   0	2.128253e+02	  80	  80	5.696340e-01	4.578831e+01	1376	happy	happy_16.png	
DEV	   1	  21	   1	   0	2.196117e+02	  72	   0	5.570805e-01	3.994506e+01	1444	happy	happy_15.png	
DEV	   1	  22	   1	   0	2.260183e+02	  80	   0	5.449042e-01	4.360134e+01	1512	happy	happy_7.png	
DEV	   1	  23	   1	   0	2.319535e+02	  72	  72	5.692594e-01	4.120961e+01	1378	happy	happy_18.png	
DEV	   1	  24	   1	   0	2.384756e+02	  77	   0	5.764333e-01	4.450471e+01	1340	happy	happy_5.png	
DEV	   1	  25	   1	   0	2.446611e+02	  79	   0	5.513036e-01	4.347164e+01	1476	happy	happy_6.png	
DEV	   1	  26	   1	   0	2.515350e+02	  79	  79	5.574444e-01	4.386806e+01	1442	happy	happy_20.png	
DEV	   1	  27	   1	   0	2.581894e+02	  78	  78	5.629409e-01	4.365827e+01	1412	happy	happy_1.png	
DEV	   1	  28	   1	   0	2.646942e+02	  73	   0	5.456101e-01	3.982867e+01	1508	happy	happy_9.png	
DEV	   1	  29	   1	   0	2.709898e+02	  74	   0	5.852760e-01	4.329812e+01	1294	happy	happy_16.png	
DEV	   1	  30	   1	   0	2.770816e+02	  82	  82	5.509454e-01	4.510128e+01	1478	happy	happy_12.png	
DEV	   1	  31	   1	   0	2.837559e+02	  74	  74	5.570805e-01	4.105922e+01	1444	happy	happy_10.png	
DEV	   1	  32	   1	   0	2.902329e+02	  81	  81	5.581730e-01	4.503131e+01	1438	happy	happy_19.png	
DEV	   1	  33	   1	   0	2.981007e+02	  75	  75	5.434964e-01	4.079083e+01	1520	happy	happy_3.png	
DEV	   1	  34	   1	   0	3.051514e+02	  75	  75	5.659025e-01	4.271311e+01	1396	happy	happy_17.png	
DEV	   1	  35	   1	   0	3.126409e+02	  73	  73	5.507663e-01	4.013226e+01	1479	happy	happy_13.png	
DEV	   1	  36	   1	   0	3.194166e+02	  73	   0	5.583553e-01	4.057657e+01	1437	happy	happy_4.png	
DEV	   1	  37	   1	   0	3.269303e+02	  72	   0	5.420937e-01	3.907878e+01	1528	happy	happy_8.png	
DEV	   1	  38	   1	   0	3.335768e+02	  80	  80	5.320790e-01	4.275020e+01	1586	happy	happy_14.png	
DEV	   1	  39	   1	   0	3.405278e+02	  77	   0	5.175616e-01	3.970686e+01	1673	happy	happy_2.png	
DEV	   1	  40	   1	   0	3.461972e+02	  73	  73	5.598172e-01	4.066180e+01	1429	happy	happy_11.png	
IEV	   1	  41	   2	   0	3.569763e+02	  23	  23	8.733731e-01	2.045084e+01	 923	fear	fear_13.png	
IEV	   1	  42	   2	   0	3.625596e+02	  21	   0	8.936776e-01	1.890131e+01	 462	fear	fear_5.png	
IEV	   1	  43	   2	   0	3.694324e+02	  30	  30	8.502708e-01	2.516109e+01	1235	fear	fear_9.png	
IEV	   1	  44	   2	   0	3.765419e+02	  41	  41	7.504840e-01	3.083841e+01	2066	fear	fear_1.png	
IEV	   1	  45	   2	   0	3.842991e+02	  72	   0	5.825185e-01	4.196085e+01	3005	fear	fear_7.png	
IEV	   1	  46	   2	   0	3.922005e+02	  50	  50	7.131592e-01	3.596913e+01	2300	fear	fear_8.png	
IEV	   1	  47	   2	   0	4.016428e+02	  52	  52	6.801764e-01	3.558193e+01	2491	fear	fear_6.png	
IEV	   1	  48	   2	   0	4.101268e+02	  52	   0	6.858473e-01	3.585651e+01	2459	fear	fear_18.png	
IEV	   1	  49	   2	   0	4.180952e+02	  60	   0	6.755280e-01	4.064403e+01	2517	fear	fear_14.png	
IEV	   1	  50	   2	   0	4.245629e+02	  62	  62	6.549201e-01	4.062937e+01	2630	fear	fear_4.png	
